,AREA,SYMBOL,UNIT,DOMAIN,ERA,PERIOD,EPOCH,RXTP,SUBRXTP,AGERXTP,GEOLPROV,source_folder,FSA,mean_radon,median_radon,mean_duration,n_tests,Province
0,153550928.0,380,X2g,onshore,Precambrian,Paleoproterozoic,middle Paleoproterozoic,intrusive rocks,undivided granitoid rocks,Paleoproterozoic intrusive rocks,Churchill Province,CHU,X0A,7.741935483870968,7.5,103.58064516129032,31.0,NU
1,87790840.0,380,X2g,onshore,Precambrian,Paleoproterozoic,middle Paleoproterozoic,intrusive rocks,undivided granitoid rocks,Paleoproterozoic intrusive rocks,Churchill Province,CHU,X0A,7.741935483870968,7.5,103.58064516129032,31.0,NU
2,23645288.0,380,X2g,onshore,Precambrian,Paleoproterozoic,middle Paleoproterozoic,intrusive rocks,undivided granitoid rocks,Paleoproterozoic intrusive rocks,Churchill Province,CHU,X0A,7.741935483870968,7.5,103.58064516129032,31.0,NU
3,688437440.0,422,WXsv,onshore,Precambrian,Neoarchean-Paleoproterozoic,undivided Neoarchean-Paleoproterozoic,sedimentary and volcanic rocks,undivided sedimentary and volcanic rocks,Archean-Paleoproterozoic sedimentary and volcanic rocks,Churchill Province,CHU,X0A,7.741935483870968,7.5,103.58064516129032,31.0,NU
4,16955690.0,220,VWn,onshore,Precambrian,Mesoarchean-Neoarchean,undivided Mesoarchean-Neoarchean,metamorphic rocks,undivided gneiss,Archean metamorphic rocks,Churchill Province,CHU,X0A,7.741935483870968,7.5,103.58064516129032,31.0,NU
5,227916800.0,380,X2g,onshore,Precambrian,Paleoproterozoic,middle Paleoproterozoic,intrusive rocks,undivided granitoid rocks,Paleoproterozoic intrusive rocks,Churchill Province,CHU,X0A,7.741935483870968,7.5,103.58064516129032,31.0,NU
6,14520293376.0,0,unknown,ice,unknown,unknown,unknown,unknown,unknown,unknown,Churchill Province,CHU,X0A,7.741935483870968,7.5,103.58064516129032,31.0,NU
7,154500560.0,380,X2g,onshore,Precambrian,Paleoproterozoic,middle Paleoproterozoic,intrusive rocks,undivided granitoid rocks,Paleoproterozoic intrusive rocks,Churchill Province,CHU,X0A,7.741935483870968,7.5,103.58064516129032,31.0,NU
8,218164736.0,220,VWn,onshore,Precambrian,Mesoarchean-Neoarchean,undivided Mesoarchean-Neoarchean,metamorphic rocks,undivided gneiss,Archean metamorphic rocks,Churchill Province,CHU,X0A,7.741935483870968,7.5,103.58064516129032,31.0,NU
9,119945208.0,422,WXsv,onshore,Precambrian,Neoarchean-Paleoproterozoic,undivided Neoarchean-Paleoproterozoic,sedimentary and volcanic rocks,undivided sedimentary and volcanic rocks,Archean-Paleoproterozoic sedimentary and volcanic rocks,Churchill Province,CHU,X0A,7.741935483870968,7.5,103.58064516129032,31.0,NU
10,118154000.0,220,VWn,onshore,Precambrian,Mesoarchean-Neoarchean,undivided Mesoarchean-Neoarchean,metamorphic rocks,undivided gneiss,Archean metamorphic rocks,Churchill Province,CHU,X0A,7.741935483870968,7.5,103.58064516129032,31.0,NU
11,57813328.0,380,X2g,onshore,Precambrian,Paleoproterozoic,middle Paleoproterozoic,intrusive rocks,undivided granitoid rocks,Paleoproterozoic intrusive rocks,Churchill Province,CHU,X0A,7.741935483870968,7.5,103.58064516129032,31.0,NU
12,40445072.0,220,VWn,onshore,Precambrian,Mesoarchean-Neoarchean,undivided Mesoarchean-Neoarchean,metamorphic rocks,undivided gneiss,Archean metamorphic rocks,Churchill Province,CHU,X0A,7.741935483870968,7.5,103.58064516129032,31.0,NU
13,27881830.0,136,E,onshore,Paleozoic,Cambrian,undivided Cambrian,sedimentary rocks,undivided sedimentary rocks,Paleozoic sedimentary rocks,Churchill Province,CHU,X0A,7.741935483870968,7.5,103.58064516129032,31.0,NU
14,83266416.0,380,X2g,onshore,Precambrian,Paleoproterozoic,middle Paleoproterozoic,intrusive rocks,undivided granitoid rocks,Paleoproterozoic intrusive rocks,Churchill Province,CHU,X0A,7.741935483870968,7.5,103.58064516129032,31.0,NU
15,50376444.0,220,VWn,onshore,Precambrian,Mesoarchean-Neoarchean,undivided Mesoarchean-Neoarchean,metamorphic rocks,undivided gneiss,Archean metamorphic rocks,Churchill Province,CHU,X0A,7.741935483870968,7.5,103.58064516129032,31.0,NU
16,79650776.0,380,X2g,onshore,Precambrian,Paleoproterozoic,middle Paleoproterozoic,intrusive rocks,undivided granitoid rocks,Paleoproterozoic intrusive rocks,Churchill Province,CHU,X0A,7.741935483870968,7.5,103.58064516129032,31.0,NU
17,39693752.0,422,WXsv,onshore,Precambrian,Neoarchean-Paleoproterozoic,undivided Neoarchean-Paleoproterozoic,sedimentary and volcanic rocks,undivided sedimentary and volcanic rocks,Archean-Paleoproterozoic sedimentary and volcanic rocks,Churchill Province,CHU,X0A,7.741935483870968,7.5,103.58064516129032,31.0,NU
