FSA,average_heating_days
A0A,305.5325848849945
A0B,311.3294085432639
A0C,293.23932092004384
A0E,326.72097480832423
A0G,286.24315443592553
A0H,292.23986856516973
A0J,299.8357064622125
A0K,331.91812705366925
A0L,289.84118291347204
A0M,318.9252464403067
A0N,312.32886089813803
A0P,321.9236035049288
A0R,339.61391018619935
A1A,309.8302300109529
A1B,305.93236582694414
A1E,304.13335158817085
A1G,304.13335158817085
A1H,313.12842278203726
A1K,313.12842278203726
A1L,304.8329682365827
A1N,306.6319824753559
A1S,305.4326396495071
A1V,286.84282584884994
A1W,303.3337897042716
A1X,304.43318729463306
A1Y,313.0284775465499
A2A,285.5435377875137
A2B,286.3430996714129
A2H,316.52656078860895
A2N,305.5325848849945
A2V,333.9170317634173
A5A,288.84173055859804
A8A,310.42990142387737
B0C,296.53751369112814
B0E,286.84282584884994
B0H,268.6527929901424
B0J,256.1596385542168
B0K,251.7620481927711
B0L,255.75985761226727
B0M,285.4435925520263
B0N,249.6631982475356
B0P,251.7620481927711
B0R,248.4638554216868
B0S,259.0580503833516
B0T,249.3633625410734
B0V,289.04162102957287
B0W,258.45837897042713
B1A,284.44414019715225
B1H,284.54408543263963
B1L,274.249726177437
B1M,283.9444140197152
B1N,281.0460021905805
B1P,272.3507667031764
B1R,275.8488499452355
B1S,278.34748083242056
B1V,277.34802847754656
B2G,266.25410733844467
B2H,261.1569003285871
B2N,248.16401971522453
B2R,257.2590361445783
B2S,246.36500547645127
B2T,253.66100766703175
B2V,266.9537239868565
B2W,270.95153340635267
B2X,270.45180722891564
B3A,264.95481927710847
B3G,275.249178532311
B3H,272.75054764512595
B3K,264.95481927710847
B3L,263.0558598028477
B3M,257.15909090909093
B3N,277.14813800657174
B3T,282.2453450164293
B3V,286.1432092004381
B3Z,262.15635268346114
B4A,257.8587075575028
B4B,255.75985761226727
B4C,252.3617196056955
B4E,254.960295728368
B4H,262.8559693318729
B4N,258.3584337349397
B4P,262.15635268346114
B4R,253.66100766703175
B4V,252.0618838992333
B5A,311.9290799561884
B6L,253.66100766703175
B9A,274.249726177437
C0A,264.5550383351588
C0B,276.4485213581599
C1A,267.2535596933187
C1B,263.65553121577216
C1E,278.7472617743702
C1N,269.15251916757944
E1A,253.7609529025192
E1B,252.3617196056955
E1C,251.7620481927711
E1E,250.0629791894852
E1G,252.7615005476451
E1H,255.55996714129245
E1J,255.75985761226727
E1N,258.45837897042713
E1V,260.5572289156627
E1W,287.44249726177435
E1X,275.44906900328584
E2A,257.95865279299016
E2E,257.95865279299016
E2G,252.96139101861996
E2H,280.8461117196057
E2J,288.4419496166484
E2L,277.7478094194961
E2M,277.5479189485213
E2V,245.065717415115
E3A,249.0635268346112
E3B,245.96522453450163
E3C,249.16347207009855
E3E,250.86254107338445
E3G,251.9619386637459
E3L,242.76697699890477
E3N,269.3524096385542
E3V,265.95427163198246
E3Y,266.7538335158817
E3Z,257.75876232201534
E4A,246.06516976998907
E4B,246.46495071193863
E4C,245.2656078860898
E4E,267.5533953997809
E4H,278.34748083242056
E4P,259.4578313253012
E4R,256.9592004381161
E4S,257.658817086528
E4T,248.86363636363637
E4W,259.3578860898138
E4X,263.9553669222344
E4Y,253.3611719605696
