FSA,average_heating_days
E4Z,254.86035049288063
E5A,245.7653340635268
E5B,246.56489594742607
E5G,331.3184556407448
E5H,260.65717415115006
E5J,295.4381161007667
E5K,264.6549835706462
E5L,250.86254107338445
E5N,259.95755750273827
E5S,256.8592552026287
E5T,256.8592552026287
E6K,254.06078860898137
E6L,245.66538882803945
E7A,277.44797371303395
E7B,280.8461117196057
E7C,281.24589266155533
E7E,261.35679079956185
E7G,265.5544906900328
E7H,257.15909090909093
E7J,254.1607338444688
E7K,252.7615005476451
E7L,267.8532311062432
E7M,248.16401971522453
E7P,250.66265060240963
E8A,267.95317634173057
E8B,270.65169769989046
E8C,271.25136911281487
E8E,267.5533953997809
E8G,266.9537239868565
E8J,266.4539978094195
E8K,270.45180722891564
E8N,287.44249726177435
E8P,289.14156626506025
E8R,267.35350492880616
E8S,309.5303943044907
E8T,322.52327491785326
E9A,278.447426067908
E9B,248.86363636363637
E9E,277.84775465498353
E9G,260.05750273822565
E9H,273.5501095290252
G0A,296.4375684556408
G0C,272.9504381161008
G0E,298.6363636363637
G0G,322.02354874041623
G0H,322.22343921139105
G0J,282.14539978094194
G0K,271.6511500547645
G0L,279.84665936473164
G0M,249.3633625410734
G0N,253.960843373494
G0P,259.0580503833516
G0R,264.45509309967144
G0S,243.16675794085432
G0T,287.842278203724
G0W,298.43647316538886
G0X,268.3529572836801
G0Y,264.355147864184
G0Z,238.16949616648407
G1V,245.065717415115
G2C,242.3671960569551
G2E,243.56653888280397
G3A,244.86582694414017
G3C,296.23767798466594
G3H,247.3644578313253
G3K,252.16182913472068
G3L,288.2420591456736
G3N,254.26067907995616
G3Z,299.73576122672506
G4A,270.75164293537784
G4R,313.52820372398685
G4S,296.0377875136912
G4T,327.92031763417305
G4V,278.7472617743702
G4W,279.14704271631985
G4X,282.74507119386635
G4Z,312.02902519167577
G5A,298.6363636363637
G5B,299.53587075575024
G5C,315.4271631982476
G5H,299.03614457831327
G5J,269.45235487404165
G5L,277.14813800657174
G5R,267.15361445783134
G5T,277.947699890471
G5V,250.56270536692224
G5X,253.1612814895948
G5Y,254.3606243154436
G6B,260.45728368017524
G6E,250.0629791894852
G6G,268.05312157721795
G6L,241.0679079956188
G6P,239.66867469879517
G6V,247.3644578313253
G6W,242.26725082146766
G6Z,247.76423877327494
G7A,247.86418400876232
G7B,259.0580503833516
G7H,265.2546549835707
G7J,265.5544906900328
G7N,270.75164293537784
G7S,261.85651697699893
G7X,262.15635268346114
G7Z,262.0564074479737
G8B,265.2546549835707
G8G,289.9411281489595
G8H,271.4512595837897
G8K,259.157995618839
G8L,261.35679079956185
G8M,259.0580503833516
G8P,304.43318729463306
G8T,236.3704819277108
G9H,235.3710295728368
G9X,260.65717415115006
H1C,229.77409638554215
H1G,227.17552026286964
H1L,226.77573932092005
H1M,228.5747535596933
H1S,228.5747535596933
H1T,229.27437020810513
H1W,226.17606790799562
H1Y,228.67469879518072
H3E,226.07612267250823
H3S,229.5742059145674
H4H,227.6752464403067
H4L,227.47535596933187
H7A,228.5747535596933
H7E,227.6752464403067
H7G,228.47480832420592
H7H,228.87458926615554
H7K,229.07447973713036
H7L,229.47426067907995
H7M,228.47480832420592
H7N,227.57530120481928
H7P,228.87458926615554
H7R,229.17442497261774
H7T,228.87458926615554
H7W,228.37486308871854
H7X,228.77464403066813
H8P,227.27546549835708
H8Z,228.37486308871854
H9A,228.77464403066813
H9C,230.2738225629792
H9J,229.87404162102956
H9S,236.57037239868563
H9W,232.17278203723987
J0A,242.9668674698795
J0B,244.2661555312158
J0C,232.9723439211391
J0E,239.46878422782038
J0G,231.27327491785323
J0H,233.47207009857613
J0J,229.07447973713036
J0K,260.65717415115006
J0L,227.77519167579408
J0M,344.61117196056955
J0N,230.07393209200438
J0P,229.87404162102956
J0R,249.763143483023
J0S,226.6757940854326
J0T,261.55668127053667
J0V,240.5681818181818
J0W,261.85651697699893
J0X,247.76423877327494
J0Y,297.03723986856517
J0Z,256.6593647316539
J1L,242.76697699890474
J1N,239.86856516976997
J1T,245.16566265060243
J1X,239.26889375684559
J2G,235.97070098576123
J2J,234.77135815991238
J2K,235.47097480832423
J2W,229.17442497261774
J3E,229.77409638554215
J3G,228.17497261774372
J3H,244.56599123767796
J3L,227.47535596933187
J3M,229.07447973713036
J3P,230.17387732749177
J3R,230.3737677984666
J4B,227.77519167579408
J5A,228.77464403066813
J5K,237.07009857612266
J5L,240.2683461117196
J5M,233.17223439211392
J5T,230.5736582694414
J5W,229.47426067907995
J5Y,229.47426067907995
J5Z,229.5742059145674
J6E,233.57201533406354
J6J,229.37431544359256
J6K,229.37431544359256
J6W,228.5747535596933
J7C,231.3732201533406
J7K,231.47316538882805
J7M,232.07283680175246
J7N,230.3737677984666
J7P,229.17442497261774
J7R,229.5742059145674
J7T,229.77409638554215
J7V,229.07447973713036
J8B,246.56489594742607
J8C,256.35952902519165
J8G,247.86418400876232
J8H,240.96796276013143
J8L,246.16511500547645
J8M,228.77464403066813
J8N,238.36938663745892
J8P,229.17442497261774
J8R,231.3732201533406
J8T,227.47535596933187
J8V,237.17004381161007
J9B,238.16949616648412
J9E,241.36774370208107
J9H,227.37541073384446
J9J,231.3732201533406
J9L,247.16456736035047
J9P,258.75821467688934
J9T,261.25684556407447
J9X,258.95810514786416
J9Y,258.95810514786416
J9Z,260.2573932092005
K0A,229.47426067907995
K0B,230.07393209200438
K0C,229.07447973713036
K0E,226.17606790799562
K0G,227.37541073384446
K0H,229.27437020810513
K0J,233.17223439211392
K0K,221.97836801752462
K0L,237.3699342825849
K0M,237.3699342825849
K1B,226.97562979189487
K1G,228.07502738225628
K1J,229.17442497261774
K1N,226.87568455640744
K1S,227.57530120481928
K1V,229.37431544359256
K2B,226.77573932092005
K2E,228.17497261774372
K2G,228.77464403066813
K2J,229.17442497261774
K2K,226.27601314348303
K2M,229.17442497261774
K2S,229.67415115005477
K4A,231.17332968236582
K4K,228.77464403066813
K4R,226.47590361445785
K6A,231.27327491785323
K6H,227.07557502738226
K6J,226.27601314348303
K6K,227.47535596933187
K6V,224.67688937568457
K7A,227.9750821467689
K7C,228.77464403066813
K7G,227.47535596933187
K7H,228.2749178532311
K7K,226.07612267250823
K7L,230.2738225629792
K7M,234.77135815991238
K7P,228.47480832420592
K7R,225.3765060240964
K7S,229.07447973713036
K7V,233.97179627601312
K8A,232.57256297918948
K8H,238.46933187294633
K8N,222.9778203723987
K8P,222.9778203723987
K8V,231.07338444687844
K9A,229.27437020810513
K9H,227.57530120481928
K9J,231.97289156626508
K9K,230.77354874041623
K9L,227.17552026286964
K9V,230.77354874041623
L0A,235.87075575027382
L0B,232.07283680175246
L0C,228.77464403066813
L0E,226.97562979189487
L0G,224.27710843373492
L0J,223.97727272727272
L0K,231.57311062431543
L0L,233.57201533406354
L0M,228.37486308871854
L0N,237.46987951807228
L0P,227.57530120481928
L0R,224.07721796276013
L0S,227.07557502738226
L1A,226.07612267250823
L1B,244.9657721796276
L1C,226.6757940854326
L1E,236.77026286966046
L1G,235.77081051478643
L1H,225.8762322015334
L1J,233.97179627601312
L1K,240.368291347207
L1N,232.47261774370207
L1P,232.57256297918948
L1R,235.77081051478643
L1S,250.86254107338445
L1T,230.97343921139102
L1V,247.6642935377875
L1W,245.36555312157722
L1X,233.37212486308871
L1Z,232.57256297918948
L2E,219.97946330777657
L2G,219.97946330777657
L2H,220.27929901423877
L2J,220.77902519167577
L2M,224.27710843373492
L2N,227.27546549835708
L2P,224.77683461117195
L2R,228.17497261774372
L2S,219.17990142387734
L2V,221.2787513691128
L3B,226.17606790799562
L3C,227.07557502738226
L3K,231.07338444687844
L3M,225.8762322015334
L3P,230.77354874041623
L3R,236.67031763417307
L3S,236.67031763417307
L3T,231.67305585980287
L3V,233.17223439211392
L3X,224.47699890470975
L3Y,224.57694414019713
L3Z,229.17442497261774
L4A,233.87185104052574
L4B,226.6757940854326
L4C,227.37541073384446
L4E,232.87239868565172
L4G,225.5763964950712
L4H,227.47535596933187
L4J,228.2749178532311
L4M,234.77135815991238
L4N,233.47207009857613
L4P,227.57530120481928
L4R,237.3699342825849
L4S,227.9750821467689
L4T,226.77573932092005
L4W,228.97453450164292
L4Y,227.87513691128146
L5A,226.6757940854326
L5B,228.47480832420592
L5G,225.27656078860898
L5J,240.16840087623223
L5K,230.3737677984666
L5L,231.47316538882805
L5M,226.57584884994523
L5N,224.27710843373492
L5V,227.47535596933187
L5W,227.07557502738226
L6A,228.97453450164292
L6B,234.07174151150056
L6E,230.77354874041623
L6H,231.47316538882805
L6J,227.47535596933187
L6K,229.87404162102956
L6L,230.07393209200438
L6M,225.5763964950712
L6P,224.8767798466594
L6R,225.47645125958377
L6S,226.87568455640744
L6V,224.77683461117195
L6W,226.47590361445785
L6X,224.77683461117195
L6Y,222.87787513691129
L6Z,226.27601314348303
L7A,225.8762322015334
L7B,228.97453450164292
L7E,226.87568455640744
L7G,225.6763417305586
L7J,231.47316538882805
L7K,234.27163198247538
L7L,223.07776560788608
L7M,220.9789156626506
L7N,222.07831325301206
L7P,226.77573932092005
L7S,226.57584884994523
L7T,214.88225629791893
L8E,217.78066812705367
L8G,218.18044906900326
L8H,226.07612267250823
L8J,223.07776560788608
L8K,214.98220153340637
L8L,225.9761774370208
L8P,215.28203723986857
L8R,213.48302300109526
L8T,220.9789156626506
L8V,221.17880613362541
L8W,221.77847754654985
L9A,220.1793537787514
L9B,221.47864184008762
L9C,220.1793537787514
L9G,219.8795180722892
L9H,220.6790799561884
L9K,221.47864184008762
L9L,228.07502738225628
L9M,265.75438116100764
L9N,223.5774917853231
L9P,229.37431544359256
L9R,225.17661555312156
L9S,230.47371303395397
L9T,222.17825848849944
L9W,234.5714676889376
L9Y,239.66867469879517
L9Z,244.86582694414017
M1B,243.56653888280394
M1E,243.16675794085432
M1G,243.96631982475358
M1K,242.6670317634173
M1W,236.27053669222343
M2H,231.07338444687844
M2J,236.27053669222343
M2N,230.5736582694414
M3A,235.5709200438116
M3H,231.67305585980287
M4C,240.76807228915663
M4E,240.368291347207
M4J,240.368291347207
M4K,232.47261774370207
M4L,238.56927710843374
M4N,234.47152245345015
M5M,236.3704819277108
M6N,226.07612267250823
M6R,237.9696056955093
M9A,228.97453450164292
M9C,228.47480832420592
N0A,222.57803943044908
N0B,229.27437020810513
N0C,241.76752464403066
N0E,226.07612267250823
N0G,230.2738225629792
N0H,255.85980284775465
N0J,218.68017524644029
N0K,226.77573932092005
N0L,230.2738225629792
N0M,223.8773274917853
N0N,222.9778203723987
N0P,214.6823658269441
N0R,223.07776560788608
N1A,229.97398685651697
N1C,226.77573932092005
N1E,229.67415115005477
N1G,227.87513691128146
N1H,227.57530120481928
N1L,227.87513691128146
N1M,233.47207009857613
N1R,223.2776560788609
N1S,225.3765060240964
N1T,225.3765060240964
N2A,226.37595837897044
N2E,226.6757940854326
N2H,227.27546549835708
N2J,227.27546549835708
N2K,226.17606790799562
N2L,226.87568455640744
N2M,226.47590361445785
N2N,227.37541073384446
N2P,224.8767798466594
N2T,229.07447973713036
N2V,226.77573932092005
N2Z,242.6670317634173
N3A,226.87568455640744
N3B,229.17442497261774
N3C,225.27656078860898
N3H,225.6763417305586
N3L,219.57968236582693
N3P,218.78012048192772
N3R,219.27984665936472
N3S,218.78012048192772
N3T,217.48083242059144
N3W,218.5802300109529
N3Y,224.77683461117195
N4B,223.17771084337352
N4G,216.78121577217962
N4K,236.17059145673605
N4L,241.66757940854328
N4N,226.87568455640744
N4S,221.07886089813803
N4T,220.6790799561884
N4W,229.47426067907995
N4X,223.5774917853231
N4Z,227.27546549835708
N5A,227.27546549835708
N5C,219.07995618838993
N5H,231.47316538882805
N5L,228.07502738225628
N5P,223.2776560788609
N5R,222.87787513691129
N5V,219.17990142387734
N5W,218.48028477546552
N5X,217.98055859802847
N5Y,217.98055859802847
N5Z,218.48028477546552
N6C,217.98055859802847
N6E,219.8795180722892
N6G,217.98055859802847
N6H,218.2803943044907
N6J,218.2803943044907
N6K,217.98055859802847
N7A,244.76588170865278
N7G,217.58077765607888
N7L,214.6823658269441
N7M,214.98220153340637
N7S,232.47261774370207
N7T,221.17880613362541
N7V,216.48138006571742
N7X,221.17880613362541
N8A,213.68291347207008
N8H,225.77628696604603
N8M,217.38088718510406
N8N,212.68346111719606
N8P,212.68346111719606
N8R,213.08324205914568
N8S,212.68346111719606
N8T,213.08324205914568
N8W,211.5840635268346
N8X,211.08433734939757
N8Y,211.08433734939757
N9A,215.6818181818182
N9B,208.5857064622125
N9C,207.68619934282586
N9E,211.08433734939757
N9G,216.08159912376777
N9H,215.08214676889375
N9J,212.78340635268344
N9K,212.68346111719606
N9V,222.27820372398688
N9Y,224.47699890470975
P0A,241.0679079956188
P0B,238.66922234392112
P0C,259.85761226725083
P0E,236.97015334063528
P0G,260.45728368017524
P0H,243.56653888280394
P0J,250.16292442497263
P0K,254.56051478641842
P0L,268.8526834611172
P0M,251.9619386637459
P0N,257.95865279299016
P0P,266.25410733844467
P0R,251.46221248630886
P0S,259.95755750273827
P0T,263.7554764512596
P0V,279.84665936473164
P0W,246.46495071193866
P0X,263.45564074479734
P1A,247.2645125958379
P1B,248.36391018619932
P1H,246.06516976998907
P1L,241.26779846659363
P1P,237.07009857612266
P2A,242.0673603504929
P2B,244.06626506024097
P2N,258.5583242059146
P3A,242.86692223439212
P3B,241.86746987951807
P3E,243.56653888280394
P3P,252.0618838992333
P3Y,245.36555312157722
P4N,253.46111719605696
P4P,254.26067907995616
P4R,253.26122672508214
P5A,256.7593099671413
P5E,247.2645125958379
P5N,258.35843373493975
P6A,256.7593099671413
P6B,250.46276013143483
P6C,249.06352683461117
P7A,265.05476451259585
P7B,260.95700985761226
P7C,253.66100766703178
P7E,261.7565717415115
P7G,259.95755750273827
P7J,283.84446878422784
P7K,261.7565717415115
P8N,266.5539430449069
P8T,262.65607886089816
P9A,255.85980284775465
P9N,265.2546549835707
R0A,244.2661555312158
R0B,290.94058050383353
R0C,257.65881708652796
R0E,252.7615005476451
R0G,237.3699342825849
R0H,262.0564074479737
R0J,271.55120481927713
R0K,243.46659364731656
R0L,266.3540525739321
R0M,242.0673603504929
R1A,243.16675794085432
R1N,244.16621029572838
R2C,241.36774370208107
R2G,240.2683461117196
R2J,241.0679079956188
R2K,240.2683461117196
R2L,240.2683461117196
R2M,239.86856516976997
R2N,239.56872946330776
R2P,241.66757940854328
R2V,241.66757940854328
R2X,240.368291347207
R3G,240.368291347207
R3J,240.368291347207
R3M,240.368291347207
R3N,240.368291347207
R3P,239.36883899233297
R3R,240.0684556407448
R3T,239.36883899233297
R3W,241.0679079956188
R4K,239.86856516976997
R5G,241.66757940854328
R5H,244.36610076670317
R6M,243.66648411829132
R6W,234.87130339539976
R7A,247.2645125958379
R7B,247.2645125958379
R7C,247.6642935377875
R7N,254.3606243154436
R8A,277.947699890471
R8N,284.74397590361446
R9A,265.45454545454544
S0A,262.15635268346114
S0C,240.5681818181818
S0E,266.5539430449069
S0G,260.65717415115006
S0H,244.6659364731654
S0J,296.43756845564076
S0K,249.763143483023
S0L,248.06407447973712
S0M,275.5490142387733
S0N,256.05969331872944
S0P,272.45071193866374
S3N,258.5583242059146
S4A,234.07174151150056
S4H,238.26944140197153
S4L,254.16073384446878
S4N,250.06297918948522
S4R,248.96358159912378
S4S,248.86363636363635
S4T,247.46440306681274
S4V,248.96358159912378
S4X,250.56270536692224
S6H,243.46659364731656
S6J,241.96741511500548
S6V,272.75054764512595
S6X,261.05695509309965
S7H,250.06297918948522
S7J,248.56380065717414
S7K,248.56380065717414
S7L,248.16401971522453
S7M,248.16401971522453
S7N,248.56380065717414
S7V,249.06352683461117
S9A,256.25958378970427
S9H,240.76807228915663
S9V,256.7593099671413
S9X,265.8543263964951
T0A,272.65060240963857
T0B,256.6593647316539
T0C,264.85487404162103
T0E,289.34145673603507
T0G,276.4485213581599
T0H,261.6566265060241
T0J,239.76861993428258
T0K,237.46987951807228
T0L,282.34529025191677
T0M,281.74561883899236
T0P,263.95536692223436
T1A,233.2721796276013
T1B,245.065717415115
T1C,232.3726725082147
T1G,231.97289156626508
T1H,237.6697699890471
T1J,239.06900328587076
T1K,236.87020810514787
T1L,291.44030668127056
T1M,234.37157721796277
T1P,256.1596385542168
T1R,240.0684556407448
T1W,339.81380065717417
T2J,260.65717415115006
T3C,259.0580503833516
T3G,269.552300109529
T3H,266.3540525739321
T3J,259.85761226725083
T3K,260.5572289156627
T4G,263.05585980284775
T4J,261.85651697699893
T4L,262.95591456736037
T4N,261.55668127053667
T4P,261.25684556407447
T4R,262.2562979189485
T4S,269.75219058050385
T4T,271.3513143483023
T4V,258.75821467688934
T5A,256.4594742606791
T5E,258.45837897042713
T5M,257.95865279299016
T5N,257.95865279299016
T5T,260.2573932092005
T5X,258.45837897042713
T5Y,256.9592004381161
T6H,259.0580503833516
T6J,257.2590361445783
T6L,258.5583242059146
T6R,259.657721796276
T6W,258.75821467688934
T7E,268.2530120481928
T7N,257.15909090909093
T7P,258.35843373493975
T7S,264.75492880613365
T7V,283.3447426067908
T7X,260.05750273822565
T8A,260.5572289156627
T8E,262.75602409638554
T8L,256.8592552026287
T8N,259.2579408543264
T8R,262.65607886089816
T8S,276.948247535597
T8V,263.15580503833513
T8W,265.05476451259585
T8X,263.25575027382257
T9C,254.26067907995616
T9H,260.95700985761226
T9J,260.05750273822565
T9K,260.35733844468785
T9M,266.4539978094195
T9N,259.2579408543264
T9S,262.0564074479737
T9V,259.75766703176345
T9W,255.65991237677983
T9X,254.26067907995616
V0A,267.5533953997809
V0B,263.15580503833513
V0C,341.71276013143483
V0E,299.53587075575024
V0G,246.66484118291348
V0H,267.95317634173057
V0J,331.0186199342826
V0K,276.0487404162103
V0L,256.05969331872944
V0M,324.0224534501643
V0N,289.9411281489595
V0P,253.56106243154434
V0R,295.93784227820373
V0T,364.60021905805036
V0X,300.1355421686747
V1A,321.9236035049288
V1B,305.0328587075575
V1C,278.5473713033954
V1E,282.2453450164293
V1G,293.3392661555312
V1H,256.8592552026287
V1J,289.14156626506025
V1K,263.35569550930995
V1L,259.4578313253012
V1M,244.16621029572838
V1N,272.35076670317636
V1R,266.25410733844467
V1T,218.08050383351588
V1V,236.3704819277108
V1W,220.9789156626506
V1X,289.54134720700984
V1Y,216.58132530120483
V1Z,270.35186199342826
V2A,260.65717415115006
V2B,287.54244249726173
V2C,269.65224534501647
V2E,221.57858707557503
V2G,269.9520810514787
V2H,259.157995618839
V2J,286.44304490690035
V2K,280.14649507119384
V2L,259.85761226725083
V2M,278.1475903614458
V2N,283.7445235487404
V2P,243.66648411829132
V2R,252.3617196056955
V2S,245.86527929901425
V2T,247.56434830230012
V2V,328.7198795180723
V2W,253.86089813800658
V2X,246.46495071193866
V2Z,252.7615005476451
V3A,246.7647864184009
V3B,241.36774370208107
V3C,247.96412924424973
V3E,280.34638554216866
V3G,258.15854326396493
V3H,270.8515881708653
V3J,253.76095290251916
V3K,247.56434830230012
V3L,253.66100766703178
V3N,257.8587075575028
V3R,255.55996714129245
V3S,242.86692223439212
V3W,251.86199342825847
V3Y,237.9696056955093
V4A,243.86637458926614
V4B,247.3644578313253
V4C,254.6604600219058
V4E,250.26286966046
V4K,257.5588718510405
V4N,248.86363636363635
V4R,285.2437020810515
V4S,246.36500547645127
V4T,260.5572289156627
V4V,222.47809419496167
V4W,252.16182913472068
V4X,253.76095290251916
V5A,249.56325301204816
V5B,257.15909090909093
V5C,254.46056955093098
V5G,256.05969331872944
V5K,250.26286966046
V5L,252.0618838992333
V5M,250.26286966046
V5N,254.46056955093098
V5R,261.35679079956185
V5S,261.35679079956185
V5V,262.5561336254108
V5W,267.2535596933187
V5X,261.05695509309965
V6J,254.46056955093098
V6K,259.5577765607886
V6L,260.45728368017524
V6M,267.75328587075575
V6N,258.5583242059146
V6P,262.5561336254108
V6R,257.5588718510405
V6S,263.95536692223436
V6T,300.93510405257393
V6X,257.5588718510405
V6Y,257.5588718510405
V7A,257.5588718510405
V7C,257.5588718510405
V7E,257.5588718510405
V7N,284.84392113910184
V7R,322.02354874041623
V8A,287.74233296823655
V8B,245.46549835706463
V8C,323.0230010952902
V8G,341.71276013143483
V8J,335.51615553121576
V8K,266.5539430449069
V8L,276.1486856516977
V8M,283.9444140197152
V8N,287.2426067907995
V8R,289.44140197152245
V8X,291.0405257393209
V8Z,290.34090909090907
V9B,279.2469879518072
V9C,279.64676889375687
V9G,244.86582694414017
V9H,277.84775465498353
