FSA,average_heating_days
A0A,305.53258488499455
A0B,311.3294085432639
A0C,293.23932092004384
A0E,326.72097480832423
A0G,286.24315443592553
A0H,292.23986856516973
A0J,299.8357064622125
A0K,331.91812705366925
A0L,289.84118291347204
A0M,318.9252464403067
A0N,312.32886089813803
A0P,321.9236035049288
A0R,339.61391018619935
A1A,309.8302300109529
A1B,305.93236582694414
A1C,312.5287513691128
A1E,304.13335158817085
A1G,304.13335158817085
A1H,313.12842278203726
A1K,313.12842278203726
A1L,304.8329682365827
A1M,304.5331325301205
A1N,306.6319824753559
A1S,305.4326396495071
A1V,286.84282584884994
A1W,303.3337897042716
A1X,304.43318729463306
A1Y,313.0284775465499
A2A,285.5435377875137
A2B,286.3430996714129
A2H,316.52656078860895
A2N,305.53258488499455
A2V,333.9170317634173
A5A,288.84173055859804
A8A,310.42990142387737
B0C,296.53751369112814
B0E,286.84282584884994
B0H,268.65279299014236
B0J,256.1596385542168
B0K,251.7620481927711
B0L,255.75985761226727
B0M,285.4435925520263
B0N,249.6631982475356
B0P,251.7620481927711
B0R,248.46385542168676
B0S,259.0580503833516
B0T,249.3633625410734
B0V,289.04162102957287
B0W,258.45837897042713
B1A,284.44414019715225
B1B,284.44414019715225
B1C,278.04764512595835
B1E,285.5435377875137
B1G,281.6456736035049
B1H,284.54408543263963
B1J,275.14923329682364
B1K,282.04545454545456
B1L,274.249726177437
B1M,283.9444140197152
B1N,281.0460021905805
B1P,272.35076670317636
B1R,275.8488499452355
B1S,278.34748083242056
B1T,286.54299014238774
B1V,277.34802847754656
B1W,288.74178532311066
B1X,269.3524096385542
B1Y,270.95153340635267
B2A,272.250821467689
B2C,274.44961664841185
B2E,282.04545454545456
B2G,266.25410733844467
B2H,261.1569003285871
B2J,289.04162102957287
B2N,248.16401971522453
B2R,257.2590361445783
B2S,246.36500547645127
B2T,253.66100766703178
B2V,266.9537239868565
B2W,270.95153340635267
B2X,270.45180722891564
B2Y,312.92853231106244
B2Z,271.0514786418401
B3A,264.95481927710847
B3B,266.1541621029573
B3E,254.86035049288063
B3G,275.249178532311
B3H,272.75054764512595
B3J,272.15087623220154
B3K,264.95481927710847
B3L,263.05585980284775
B3M,257.15909090909093
B3N,277.14813800657174
B3P,274.0498357064622
B3R,278.1475903614458
B3S,267.75328587075575
B3T,282.2453450164293
B3V,286.14320920043815
B3Z,262.15635268346114
B4A,257.8587075575028
B4B,255.75985761226727
B4C,252.3617196056955
B4E,254.960295728368
B4G,249.46330777656078
B4H,262.8559693318729
B4N,258.35843373493975
B4P,262.15635268346114
B4R,253.66100766703178
B4V,252.0618838992333
B5A,311.9290799561884
B6L,253.66100766703178
B9A,274.249726177437
C0A,264.5550383351588
C0B,276.4485213581599
C1A,267.2535596933187
C1B,263.65553121577216
C1C,268.4529025191676
C1E,278.7472617743702
C1N,269.15251916757944
E1A,253.76095290251916
E1B,252.3617196056955
E1C,251.7620481927711
E1E,250.06297918948522
E1G,252.7615005476451
E1H,255.55996714129245
E1J,255.75985761226727
E1N,258.45837897042713
E1V,260.5572289156627
E1W,287.44249726177435
E1X,275.44906900328584
E2A,257.95865279299016
E2E,257.95865279299016
