FSA,pct_single_detached,pct_highrise,pct_other_attached,pct_movable,avg_rooms,pct_major_repair,pct_pre_1980,pct_1981_2000,pct_post_2001,median_home_value,pop_2016,num_dwellings,occ_dwellings,median_age,avg_household_size,pct_owned,pct_rented,pct_band,pct_low_income,med_income,pct_high_income,pct_govt_transfers,unemployment_rate,pct_non_laborer,pct_bachelor_plus,pct_overcrowded,pct_unsuitable_housing,pct_housing_poor_owners
A0A,0.9230571281523418,0.0002573340195573855,0.07102418939783839,0.005661348430262481,7.0,0.07734092084842215,0.5312984997413347,0.26875323331608897,0.1999482669425763,200209.0,46587.0,26155.0,19426.0,48.5,2.4,0.8613195342820181,0.1386804657179819,0.0,17.0,63866.0,2.5411454904542463,20.7,16.4,45.56621880998081,10.614192009540847,0.28453181583031556,2.0693222969477496,11.6
A0B,0.9477272727272728,0.0,0.03977272727272727,0.0125,6.9,0.07879818594104308,0.5751559841179807,0.28587634713556437,0.13896766874645491,150155.0,19792.0,13658.0,8792.0,54.2,2.2,0.8922902494331065,0.10770975056689343,0.0,16.5,59154.0,2.305645876441029,23.7,18.5,48.38893641288851,7.30098916627414,0.2834467120181406,1.1337868480725624,9.5
A0C,0.9339875111507583,0.0,0.05263157894736842,0.013380909901873328,6.6,0.06582506762849413,0.5915238954012624,0.2867448151487827,0.12173128944995491,105093.0,12587.0,8010.0,5606.0,53.1,2.2,0.871841155234657,0.12815884476534295,0.0,20.5,52112.0,0.9425070688030159,29.8,26.8,47.597042513863215,6.049562682215743,0.0,0.9918845807033363,8.9
A0E,0.9338541666666667,0.0005208333333333333,0.05520833333333333,0.010416666666666666,6.9,0.07232049947970863,0.6612903225806451,0.24193548387096775,0.0967741935483871,120199.0,22294.0,12293.0,9603.0,51.0,2.3,0.8688183237896928,0.13118167621030713,0.0,17.1,60954.0,2.5302826379542394,21.7,23.5,48.75776397515528,7.221542227662178,0.15608740894901144,1.4575741801145237,7.9
A0G,0.9361842105263158,0.0,0.057236842105263155,0.006578947368421052,6.9,0.08755760368663594,0.5765054294175715,0.29713721618953604,0.1263573543928924,119920.0,35266.0,21750.0,15200.0,52.8,2.3,0.8824884792626728,0.1175115207373272,0.0,20.7,53342.0,1.295601772928742,28.6,27.5,50.7715036112935,6.316348195329087,0.3620803159973667,1.2837393021724819,8.2
A0H,0.8830065359477124,0.0,0.11176470588235295,0.00522875816993464,6.8,0.08678756476683938,0.6297734627831715,0.24401294498381876,0.1262135922330097,100022.0,17804.0,9928.0,7651.0,51.6,2.3,0.8220064724919094,0.17346278317152103,0.004530744336569579,22.8,52847.0,1.0803511141120865,28.0,25.2,49.92055926278996,6.458123107971746,0.1295336787564767,1.8134715025906734,9.0
A0J,0.8817518248175182,0.0,0.11532846715328467,0.00291970802919708,7.0,0.06901615271659324,0.5498533724340176,0.30498533724340177,0.14516129032258066,129635.0,7880.0,4813.0,3426.0,52.9,2.2,0.8237885462555066,0.1762114537444934,0.0,21.2,52352.0,1.918649270913277,25.9,28.0,53.04606240713225,7.203907203907203,0.0,1.3215859030837005,7.5
A0K,0.9296663660955816,0.0,0.05590622182146077,0.014427412082957619,7.1,0.10099188458070334,0.5421741091565179,0.37167343256653135,0.08615245827695084,89669.0,26058.0,15159.0,11090.0,51.8,2.3,0.8940964398377648,0.10590356016223525,0.0,17.4,60533.0,1.5891032917139614,26.4,36.3,46.50449265833881,7.929362880886427,0.3155996393146979,1.6681695220919748,5.5
A0L,0.9355345911949685,0.0,0.06289308176100629,0.0015723270440251573,7.3,0.06356589147286822,0.5116279069767442,0.31007751937984496,0.17829457364341086,199906.0,7643.0,3769.0,3178.0,48.3,2.4,0.8763523956723338,0.12364760432766615,0.0,13.2,69449.0,1.7377567140600316,20.9,21.1,44.36885865457294,13.846153846153847,0.46439628482972134,2.321981424148607,8.7
A0M,0.8756756756756757,0.005405405405405406,0.11171171171171171,0.007207207207207207,6.7,0.07871198568872988,0.696969696969697,0.21746880570409982,0.0855614973262032,100046.0,6200.0,3247.0,2769.0,52.6,2.2,0.8303571428571429,0.16964285714285715,0.0,16.6,57165.0,0.9643201542912248,24.4,27.8,48.476454293628805,8.882521489971348,0.0,1.7857142857142856,7.5
