FSA,mean_uranium,max_uranium
A0A,,
A0B,,
A0C,0.8465307827653556,2.0300092697143555
A0E,0.6373286786861287,3.5090830326080322
A0G,1.0473292805137435,3.8119893074035645
A0H,0.9226324418011833,5.422686576843262
A0J,0.6630159934855396,2.1147971153259277
A0K,0.8462048838574598,3.0887653827667236
A0L,1.00888192653656,1.00888192653656
A0M,1.2188597014456084,5.084439754486084
A0N,1.0367694883856156,9.651870727539062
A0P,0.20241270553234011,5.668276309967041
A0R,1.6765090194674455,6.243576526641846
A1A,,
A1B,,
A1C,,
A1E,,
A1G,,
A1H,,
A1K,,
A1L,,
A1M,,
A1N,,
A1S,,
A1V,0.9235614538192749,1.1699808835983276
A1W,,
A1X,,
A1Y,,
A2A,,
A2B,,
A2H,0.747479145343487,1.100862979888916
A2N,0.34911397099494934,0.34911397099494934
A2V,,
A5A,,
A8A,0.8314790051392834,2.024928569793701
B0C,1.0480443560887898,2.698495626449585
B0E,0.8489331501286205,2.5385100841522217
B0H,1.1333026560500212,4.39704704284668
B0J,1.0148384630544927,5.2143707275390625
B0K,1.1363344847700978,2.010526657104492
B0L,0.9038803998161765,1.2602386474609375
B0M,0.9974412020905923,1.9096382856369019
B0N,1.0397878793569713,2.3752455711364746
B0P,0.8035666329520089,1.7689478397369385
B0R,1.0429048538208008,2.3124136924743652
B0S,1.1803016140036386,2.265188217163086
B0T,0.830739854257318,2.1031033992767334
B0V,0.38281503090491664,1.4228858947753906
B0W,0.9846795075131158,5.573055267333984
B1A,1.0209977286202567,1.4291267395019531
B1B,0.8245829582214356,1.3064873218536377
B1C,0.30425382341657364,0.5360312461853027
B1E,,
B1G,1.1643610000610352,1.275791883468628
B1H,1.0933249473571778,1.3886222839355469
B1J,1.0431687831878662,1.5465121269226074
B1K,0.6760035842212279,1.3595298528671265
B1L,1.0737214618259006,1.3358404636383057
B1M,0.9548381169637045,1.2514369487762451
B1N,0.9416460196177164,1.141953945159912
B1P,0.6304904222488403,0.9639877676963806
B1R,1.282665491104126,1.4611289501190186
B1S,,
B1T,0.6294699129850968,1.1043998003005981
B1V,0.40355122089385986,0.558728039264679
B1W,0.5986402034759521,0.8196689486503601
B1X,0.5652880668640137,1.0763828754425049
B1Y,0.8168076346902287,1.371346354484558
B2A,0.9825605979332557,1.257076382637024
B2C,0.4747321422283466,1.198923110961914
B2E,0.9007140398025513,1.08152437210083
B2G,0.9776571485731337,1.5829050540924072
B2H,1.0699246448019277,1.5035797357559204
B2J,0.46878417845695247,0.8849637508392334
B2N,1.1354843775431316,1.383638620376587
B2R,1.3317015171051025,2.040875196456909
B2S,1.2547450499101118,1.6726986169815063
B2T,1.1598965680157696,1.8801641464233398
B2V,,
B2W,0.8434226512908936,0.8636027574539185
B2X,0.9413699507713318,0.9413699507713318
B2Y,1.052639365196228,1.052639365196228
B2Z,1.096704703110915,2.316849708557129
B3A,1.0693517923355103,1.0693517923355103
B3B,1.0301768779754639,1.0301768779754639
B3E,1.6434499422709148,2.4900646209716797
B3G,0.6874863760811942,0.8248714208602905
B3H,0.5202144980430603,0.5202144980430603
B3J,,
B3K,,
B3L,1.059332251548767,1.059332251548767
B3M,0.6395833492279053,0.6395833492279053
B3N,1.461572289466858,1.461572289466858
B3P,,
B3R,1.442408561706543,2.0760276317596436
B3S,0.9951620697975159,0.9951620697975159
B3T,1.7530505922105577,3.0577118396759033
B3V,1.6525012969970703,1.9526360034942627
B3Z,2.079800469534738,3.5387306213378906
B4A,1.0911221504211426,1.2230727672576904
B4B,1.1586447715759278,1.462518572807312
B4C,0.9445726871490479,1.0032466650009155
B4E,0.9868288040161133,1.129325032234192
B4G,1.0857456922531128,1.7803266048431396
B4H,0.957624687338775,1.6729611158370972
B4N,1.1048980553944905,1.5259456634521484
B4P,1.1824323018391927,1.6228771209716797
B4R,,
B4V,1.0700865173339844,1.4737964868545532
B5A,0.6011867523193359,0.9894863963127136
B6L,1.0941500196269913,1.4974830150604248
B9A,1.2464316685994465,1.5028610229492188
C0A,0.7472363462542543,1.2903765439987183
C0B,0.8771829044117647,1.3643760681152344
C1A,0.728677241007487,0.8743091821670532
C1B,0.6696797609329224,0.6915456652641296
C1C,,
C1E,0.8033899160531851,1.110870361328125
C1N,1.0190876960754394,1.3287367820739746
E1A,1.0683703422546387,1.2452843189239502
E1B,1.0269707838694255,1.1968262195587158
E1C,,
E1E,1.2101637522379558,1.46253502368927
E1G,0.9267505645751953,1.2851444482803345
E1H,0.9396074083116319,1.2083415985107422
E1J,0.8938760023850661,1.0059489011764526
E1N,0.868546724319458,1.1402175426483154
E1V,1.0781022192726673,2.275980234146118
E1W,,
E1X,,
E2A,1.0107064461922861,2.082012414932251
E2E,1.0818580389022827,1.1821902990341187
E2G,0.9023295640945435,0.9511018395423889
E2H,0.614904522895813,0.6978421807289124
E2J,0.867355744043986,1.0501434803009033
E2K,0.7628900408744812,1.064131498336792
E2L,,
E2M,0.8720739228384835,1.1934312582015991
E2N,0.822362232208252,1.042270302772522
E2P,1.0060508251190186,1.0715187788009644
E2S,0.830449210272895,1.0402806997299194
E2V,0.8659332938816237,1.0969687700271606
E3A,0.5735499941069504,0.9708324074745178
E3B,0.7010456965519831,1.022769570350647
E3C,0.864389955997467,0.9935568571090698
E3E,0.9438219751630511,1.1412137746810913
E3G,0.7881276266915458,1.0820914506912231
E3L,0.9820615980360243,1.28727126121521
E3N,0.7030098778860909,1.1576601266860962
E3V,1.1135794639587402,1.1385561227798462
E3Y,0.941571499438996,1.1834443807601929
E3Z,0.9799612998962403,1.1938036680221558
E4A,0.9033591860816592,1.5225944519042969
