fsa,sedi_alluvial_sediments,sedi_bedrock,sedi_colluvial_and_mass-wasting_deposits,sedi_eolian_sediments,sedi_glacial_ice_or_snowpack,sedi_glacial_sediments,sedi_glaciofluvial_sediments,sedi_glaciolacustrine_sediments,sedi_glaciomarine_sediments,sedi_lacustrine_sediments,sedi_marine_sediments,sedi_organic_deposits,sedi_volcanic_deposits,sedi_weathered_bedrock_or_regolith,provinceterritory,testdurationindays,averageradonconcentrationinbqperm3
A0A,0.0,0.08658306145734551,0.0,0.0,0.0,0.8830094003873963,0.0,0.0,0.0,0.0,0.030407538155258155,0.0,0.0,0.0,NL,127.0,20.0
A0A,0.0,0.08658306145734551,0.0,0.0,0.0,0.8830094003873963,0.0,0.0,0.0,0.0,0.030407538155258155,0.0,0.0,0.0,NL,108.0,36.0
A0A,0.0,0.08658306145734551,0.0,0.0,0.0,0.8830094003873963,0.0,0.0,0.0,0.0,0.030407538155258155,0.0,0.0,0.0,NL,91.0,31.0
A0A,0.0,0.08658306145734551,0.0,0.0,0.0,0.8830094003873963,0.0,0.0,0.0,0.0,0.030407538155258155,0.0,0.0,0.0,NL,94.0,7.5
A0A,0.0,0.08658306145734551,0.0,0.0,0.0,0.8830094003873963,0.0,0.0,0.0,0.0,0.030407538155258155,0.0,0.0,0.0,NL,92.0,7.5
A0A,0.0,0.08658306145734551,0.0,0.0,0.0,0.8830094003873963,0.0,0.0,0.0,0.0,0.030407538155258155,0.0,0.0,0.0,NL,91.0,15.0
A0A,0.0,0.08658306145734551,0.0,0.0,0.0,0.8830094003873963,0.0,0.0,0.0,0.0,0.030407538155258155,0.0,0.0,0.0,NL,93.0,444.0
A0A,0.0,0.08658306145734551,0.0,0.0,0.0,0.8830094003873963,0.0,0.0,0.0,0.0,0.030407538155258155,0.0,0.0,0.0,NL,167.0,93.0
A0A,0.0,0.08658306145734551,0.0,0.0,0.0,0.8830094003873963,0.0,0.0,0.0,0.0,0.030407538155258155,0.0,0.0,0.0,NL,91.0,18.0
A0A,0.0,0.08658306145734551,0.0,0.0,0.0,0.8830094003873963,0.0,0.0,0.0,0.0,0.030407538155258155,0.0,0.0,0.0,NL,92.0,90.0
A0A,0.0,0.08658306145734551,0.0,0.0,0.0,0.8830094003873963,0.0,0.0,0.0,0.0,0.030407538155258155,0.0,0.0,0.0,NL,104.0,91.0
A0A,0.0,0.08658306145734551,0.0,0.0,0.0,0.8830094003873963,0.0,0.0,0.0,0.0,0.030407538155258155,0.0,0.0,0.0,NL,93.0,27.0
A0A,0.0,0.08658306145734551,0.0,0.0,0.0,0.8830094003873963,0.0,0.0,0.0,0.0,0.030407538155258155,0.0,0.0,0.0,NL,121.0,20.0
A0B,0.0,0.1021767968330729,0.0,0.0,0.0,0.825744380605228,0.0,0.0,0.0,0.0,0.0720788225616991,0.0,0.0,0.0,NL,111.0,122.0
A0B,0.0,0.1021767968330729,0.0,0.0,0.0,0.825744380605228,0.0,0.0,0.0,0.0,0.0720788225616991,0.0,0.0,0.0,NL,98.0,17.0
A0B,0.0,0.1021767968330729,0.0,0.0,0.0,0.825744380605228,0.0,0.0,0.0,0.0,0.0720788225616991,0.0,0.0,0.0,NL,93.0,7.5
A0C,0.0,0.1537596683800945,0.0,0.0,0.0,0.8462403316199054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NL,98.0,26.0
A0C,0.0,0.1537596683800945,0.0,0.0,0.0,0.8462403316199054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NL,97.0,140.0
A0C,0.0,0.1537596683800945,0.0,0.0,0.0,0.8462403316199054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NL,119.0,65.0
A0C,0.0,0.1537596683800945,0.0,0.0,0.0,0.8462403316199054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NL,92.0,31.0
A0C,0.0,0.1537596683800945,0.0,0.0,0.0,0.8462403316199054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NL,91.0,7.5
A0E,0.0,0.181130354888346,0.0,0.0,0.0,0.5710695258605772,0.0,0.0,0.1221349752388775,0.0,0.12566514401219928,0.0,0.0,0.0,NL,91.0,7.5
A0E,0.0,0.181130354888346,0.0,0.0,0.0,0.5710695258605772,0.0,0.0,0.1221349752388775,0.0,0.12566514401219928,0.0,0.0,0.0,NL,115.0,7.5
A0E,0.0,0.181130354888346,0.0,0.0,0.0,0.5710695258605772,0.0,0.0,0.1221349752388775,0.0,0.12566514401219928,0.0,0.0,0.0,NL,91.0,33.0
A0E,0.0,0.181130354888346,0.0,0.0,0.0,0.5710695258605772,0.0,0.0,0.1221349752388775,0.0,0.12566514401219928,0.0,0.0,0.0,NL,92.0,28.0
A0E,0.0,0.181130354888346,0.0,0.0,0.0,0.5710695258605772,0.0,0.0,0.1221349752388775,0.0,0.12566514401219928,0.0,0.0,0.0,NL,89.0,36.0
A0E,0.0,0.181130354888346,0.0,0.0,0.0,0.5710695258605772,0.0,0.0,0.1221349752388775,0.0,0.12566514401219928,0.0,0.0,0.0,NL,90.0,25.0
A0E,0.0,0.181130354888346,0.0,0.0,0.0,0.5710695258605772,0.0,0.0,0.1221349752388775,0.0,0.12566514401219928,0.0,0.0,0.0,NL,90.0,7.5
A0E,0.0,0.181130354888346,0.0,0.0,0.0,0.5710695258605772,0.0,0.0,0.1221349752388775,0.0,0.12566514401219928,0.0,0.0,0.0,NL,91.0,7.5
A0E,0.0,0.181130354888346,0.0,0.0,0.0,0.5710695258605772,0.0,0.0,0.1221349752388775,0.0,0.12566514401219928,0.0,0.0,0.0,NL,90.0,7.5
A0E,0.0,0.181130354888346,0.0,0.0,0.0,0.5710695258605772,0.0,0.0,0.1221349752388775,0.0,0.12566514401219928,0.0,0.0,0.0,NL,112.0,30.0
A0E,0.0,0.181130354888346,0.0,0.0,0.0,0.5710695258605772,0.0,0.0,0.1221349752388775,0.0,0.12566514401219928,0.0,0.0,0.0,NL,92.0,7.5
A0E,0.0,0.181130354888346,0.0,0.0,0.0,0.5710695258605772,0.0,0.0,0.1221349752388775,0.0,0.12566514401219928,0.0,0.0,0.0,NL,91.0,31.0
A0E,0.0,0.181130354888346,0.0,0.0,0.0,0.5710695258605772,0.0,0.0,0.1221349752388775,0.0,0.12566514401219928,0.0,0.0,0.0,NL,115.0,21.0
A0E,0.0,0.181130354888346,0.0,0.0,0.0,0.5710695258605772,0.0,0.0,0.1221349752388775,0.0,0.12566514401219928,0.0,0.0,0.0,NL,102.0,17.0
A0E,0.0,0.181130354888346,0.0,0.0,0.0,0.5710695258605772,0.0,0.0,0.1221349752388775,0.0,0.12566514401219928,0.0,0.0,0.0,NL,101.0,17.0
A0E,0.0,0.181130354888346,0.0,0.0,0.0,0.5710695258605772,0.0,0.0,0.1221349752388775,0.0,0.12566514401219928,0.0,0.0,0.0,NL,92.0,73.0
A0E,0.0,0.181130354888346,0.0,0.0,0.0,0.5710695258605772,0.0,0.0,0.1221349752388775,0.0,0.12566514401219928,0.0,0.0,0.0,NL,92.0,181.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,92.0,95.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,95.0,7.5
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,100.0,30.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,93.0,16.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,91.0,19.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,90.0,7.5
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,91.0,7.5
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,91.0,20.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,106.0,21.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,95.0,157.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,92.0,7.5
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,92.0,7.5
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,93.0,688.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,103.0,24.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,109.0,115.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,90.0,142.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,111.0,7.5
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,90.0,7.5
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,91.0,25.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,100.0,27.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,98.0,30.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,91.0,43.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,93.0,69.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,91.0,1548.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,90.0,7.5
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,91.0,31.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,104.0,42.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,92.0,15.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,98.0,19.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,102.0,35.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,92.0,49.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,105.0,76.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,117.0,125.0
A0G,0.0,0.027192845148869126,0.0,0.0,0.0,0.8709017047634169,0.0,0.0,0.008905102414562126,0.0,0.09300034767315181,0.0,0.0,0.0,NL,90.0,7.5
