fsa,hous_frac_type_single_detached,hous_frac_type_highrise,hous_frac_type_other_attached,hous_frac_type_movable,hous_avg_rooms,hous_frac_major_repair,hous_frac_age_pre_1980,hous_frac_age_1981_2000,hous_frac_age_post_2001,hous_median_value,demogr_pop_2016,demogr_num_total_dwellings,demogr_num_occ_dwellings,demogr_median_age,demogr_avg_household_size,demogr_frac_tenure_owned,demogr_frac_tenure_rented,demogr_frac_tenure_band,socioeco_frac_low_income,socioeco_median_income,socioeco_frac_high_income,socioeco_frac_govt_transfers,socioeco_frac_unemployment_rate,socioeco_frac_nonlaborer,socioeco_frac_bachelor_plus,socioeco_frac_overcrowded,socioeco_frac_unsuitable_housing,socioeco_frac_housing_burden
A0N,0.9380392156862745,0.0,0.05254901960784314,0.009411764705882352,6.6,0.11559778305621536,0.5794466403162055,0.3138339920948617,0.1067193675889328,100348.0,13815.0,8027.0,6370.0,53.2,2.1,0.8473101265822784,0.15268987341772153,0.0,0.299,42787.0,0.006068487212830516,0.331,0.29600000000000004,0.5602334305960817,0.06873315363881402,0.0031645569620253164,0.01819620253164557,0.11900000000000001
A0P,0.7740899357601713,0.0,0.22376873661670235,0.0021413276231263384,6.3,0.14331550802139037,0.3426124197002141,0.354389721627409,0.3029978586723769,260048.0,13721.0,5123.0,4677.0,34.5,2.9,0.6224598930481283,0.2887700534759358,0.08877005347593583,0.106,99631.0,0.027709054923305294,0.107,0.147,0.3252380952380952,0.13703208556149732,0.052406417112299465,0.09197860962566845,0.064
A0R,0.5618556701030928,0.0,0.41237113402061853,0.02577319587628866,7.0,0.04639175257731959,0.7668393782383419,0.05699481865284974,0.17616580310880828,239708.0,2543.0,1293.0,966.0,35.4,2.6,0.6113989637305699,0.38860103626943004,0.0,0.027999999999999997,130048.0,0.06084656084656084,0.059000000000000004,0.08900000000000001,0.26700251889168763,0.11186440677966102,0.0,0.010309278350515464,0.084
A1A,0.5578822599762939,0.0150138285262742,0.42670881074674044,0.0003951007506914263,7.1,0.03157063930544594,0.47418210484824597,0.2668506109578242,0.25896728419392984,341922.0,30382.0,13545.0,12663.0,42.7,2.4,0.6823204419889503,0.31767955801104975,0.0,0.11,83560.0,0.056599876058665566,0.09,0.083,0.3617781305814646,0.43108682452944747,0.005919494869771113,0.01617995264404104,0.11699999999999999
A1B,0.34508670520231216,0.013294797687861272,0.6416184971098265,0.0,6.5,0.047674418604651166,0.5534883720930233,0.17209302325581396,0.2744186046511628,349459.0,19867.0,10051.0,8653.0,33.0,2.2,0.5014543339150669,0.4985456660849331,0.0,0.233,61043.0,0.04120879120879121,0.099,0.11699999999999999,0.3728813559322034,0.41610414657666345,0.009889470622454915,0.03257707969749855,0.18100000000000002
A1C,0.2393493415956623,0.0023237800154918666,0.7575522850503486,0.000774593338497289,5.7,0.09264931087289434,0.8264525993883792,0.09403669724770643,0.07951070336391437,250564.0,12712.0,7438.0,6453.0,39.1,1.9,0.5137825421133231,0.48621745788667686,0.0,0.243,52608.0,0.030677655677655676,0.122,0.10300000000000001,0.3564835164835165,0.40340218712029163,0.005359877488514548,0.02218821729150727,0.177
A1E,0.35273017138302115,0.017138302112395375,0.6301315265045835,0.0,6.5,0.047016989332279734,0.5861660079051383,0.3067193675889328,0.10711462450592886,299259.0,27115.0,13704.0,12553.0,45.1,2.1,0.5807981035163967,0.41920189648360334,0.0,0.171,61758.0,0.024315443592552027,0.14,0.087,0.39568345323741005,0.28543752018082014,0.004741209008297116,0.023706045041485577,0.151
A1G,0.48088531187122735,0.002012072434607646,0.5171026156941649,0.0,6.7,0.030364372469635626,0.4596774193548387,0.25,0.2903225806451613,300271.0,5777.0,2646.0,2483.0,41.3,2.3,0.7131313131313132,0.2868686868686869,0.0,0.10400000000000001,73927.0,0.022340425531914895,0.12,0.086,0.32676348547717843,0.22451994091580502,0.0,0.022267206477732792,0.19399999999999998
A1H,0.5904522613065326,0.0,0.4020100502512563,0.007537688442211055,7.5,0.005012531328320802,0.0,0.08,0.92,425756.0,5493.0,2102.0,1984.0,36.1,2.8,0.85,0.15,0.0,0.037000000000000005,129792.0,0.08635794743429287,0.05,0.040999999999999995,0.24910607866507747,0.43720190779014306,0.0,0.01,0.1
A1K,0.8511837655016911,0.0011273957158962795,0.14656144306651633,0.0011273957158962795,7.7,0.03824521934758155,0.29504504504504503,0.3108108108108108,0.39414414414414417,349599.0,12253.0,4646.0,4438.0,40.0,2.7,0.8627671541057368,0.1372328458942632,0.0,0.062,105612.0,0.0563230605738576,0.08199999999999999,0.083,0.3057553956834532,0.26441631504922647,0.0,0.007874015748031496,0.11599999999999999
A1L,0.6699875466998755,0.0,0.3300124533001245,0.0,7.3,0.023024268823895456,0.12266500622665007,0.25840597758405975,0.6189290161892902,349571.0,21376.0,8659.0,8035.0,35.7,2.6,0.8069738480697385,0.1930261519302615,0.0,0.057,107512.0,0.049890863735578425,0.07,0.069,0.2464597770412775,0.2674007078254031,0.0012453300124533001,0.010578718108276292,0.11800000000000001
A1M,0.8966666666666666,0.0,0.10166666666666667,0.0016666666666666668,7.6,0.06030150753768844,0.304857621440536,0.31825795644891125,0.3768844221105528,370858.0,8058.0,3181.0,2996.0,41.3,2.7,0.8795986622073578,0.12040133779264214,0.0,0.068,107194.0,0.06270096463022508,0.08199999999999999,0.08,0.31148804934464147,0.3030949839914621,0.0033500837520938024,0.01507537688442211,0.126
A1N,0.45393024466423737,0.0005205622071837585,0.5455491931285789,0.0,7.2,0.03800104112441437,0.4528400208441897,0.416362688900469,0.13079729025534131,299337.0,22957.0,10381.0,9605.0,44.5,2.4,0.7244791666666667,0.2755208333333333,0.0,0.09,78232.0,0.024237685691946835,0.11699999999999999,0.077,0.35239294710327457,0.210188679245283,0.0026028110359187923,0.014575741801145237,0.13699999999999998
A1S,0.702819956616052,0.0,0.2603036876355748,0.0368763557483731,7.5,0.0449438202247191,0.3550561797752809,0.38202247191011235,0.26292134831460673,300542.0,6142.0,2374.0,2304.0,42.6,2.6,0.8183856502242153,0.18161434977578475,0.0,0.09300000000000001,87723.0,0.02727272727272727,0.12,0.064,0.33367139959432046,0.1380813953488372,0.004484304932735426,0.015730337078651686,0.114
A1V,0.6496424923391215,0.0040858018386108275,0.3452502553626149,0.0010214504596527069,6.9,0.04805725971370143,0.5515832482124617,0.20326864147088866,0.24514811031664965,250197.0,11698.0,5172.0,4892.0,43.2,2.3,0.6595092024539877,0.34049079754601225,0.0,0.121,72896.0,0.03685636856368564,0.127,0.1,0.37355110642781875,0.19309262166405022,0.0,0.013292433537832311,0.081
A1W,0.7540983606557377,0.0,0.2459016393442623,0.0,7.5,0.020905923344947737,0.2930232558139535,0.3941860465116279,0.3127906976744186,313797.0,11209.0,4549.0,4269.0,42.3,2.6,0.8199767711962834,0.1800232288037166,0.0,0.07,94620.0,0.04,0.096,0.096,0.3198051948051948,0.21695178849144633,0.0023228803716608595,0.011627906976744186,0.122
A1X,0.784452296819788,0.0,0.21554770318021202,0.0,7.2,0.032830523513753325,0.2987588652482269,0.2845744680851064,0.4166666666666667,299911.0,15003.0,6007.0,5668.0,40.3,2.6,0.8315602836879432,0.16843971631205673,0.0,0.08900000000000001,86989.0,0.026166593981683386,0.11900000000000001,0.091,0.32653061224489793,0.15493790656416323,0.0,0.013297872340425532,0.128
A1Y,0.8663793103448276,0.0,0.1336206896551724,0.0,6.7,0.07526881720430108,0.5364806866952789,0.26824034334763946,0.19527896995708155,198770.0,5669.0,2627.0,2321.0,49.4,2.3,0.8086021505376344,0.1913978494623656,0.0,0.163,60448.0,0.025555555555555557,0.20800000000000002,0.18600000000000003,0.42433862433862435,0.12,0.0,0.01935483870967742,0.11199999999999999
A2A,0.6310679611650486,0.0,0.36771844660194175,0.0012135922330097086,7.2,0.06396063960639606,0.5852760736196319,0.20736196319018405,0.20736196319018405,200458.0,9610.0,4345.0,4118.0,46.2,2.3,0.7023370233702337,0.2976629766297663,0.0,0.142,67533.0,0.024804177545691905,0.157,0.14800000000000002,0.424968474148802,0.21648460774577954,0.0024600246002460025,0.012285012285012284,0.086
A2B,0.6713615023474179,0.002347417840375587,0.32629107981220656,0.0,6.5,0.09601873536299765,0.6338028169014085,0.21830985915492956,0.14788732394366197,150292.0,4909.0,2740.0,2127.0,49.0,2.2,0.6378504672897196,0.3621495327102804,0.0,0.221,50341.0,0.007537688442211055,0.243,0.2,0.4700854700854701,0.06716417910447761,0.0,0.01873536299765808,0.106
A2H,0.6959038290293855,0.0004452359750667854,0.2947462154942119,0.008904719501335707,6.8,0.05756358768406961,0.6164139161462979,0.2256913470115968,0.15789473684210525,224335.0,26092.0,12628.0,11227.0,47.0,2.3,0.6801962533452275,0.3198037466547725,0.0,0.152,62056.0,0.01676109537299339,0.175,0.13,0.4187214611872146,0.205988455988456,0.0022301516503122213,0.0191793041926851,0.11
A2N,0.6205191594561187,0.027194066749072928,0.3411619283065513,0.011124845488257108,6.6,0.0687960687960688,0.6236162361623616,0.22140221402214022,0.15498154981549817,200650.0,8904.0,4348.0,4048.0,49.0,2.2,0.6125461254612546,0.3874538745387454,0.0,0.253,49963.0,0.01607267645003494,0.22,0.179,0.48241539482415396,0.15618448637316562,0.0,0.00984009840098401,0.095
A2V,0.5255102040816326,0.01870748299319728,0.37244897959183676,0.08333333333333333,6.7,0.05326460481099656,0.8664383561643836,0.039383561643835614,0.09417808219178082,250755.0,7288.0,3500.0,2933.0,37.4,2.5,0.7873070325900514,0.21269296740994853,0.0,0.052000000000000005,125483.0,0.06111603188662533,0.059000000000000004,0.086,0.2874251497005988,0.14656144306651633,0.0,0.012006861063464836,0.039
A5A,0.7838660578386606,0.0,0.2100456621004566,0.0060882800608828,7.1,0.06726457399103139,0.4176646706586826,0.3083832335329341,0.27395209580838326,229883.0,8111.0,3830.0,3284.0,43.4,2.4,0.7458893871449925,0.25411061285500747,0.0,0.127,69589.0,0.03213166144200627,0.149,0.121,0.37925925925925924,0.1664779161947905,0.0029895366218236174,0.014947683109118086,0.07400000000000001
A8A,0.8269230769230769,0.0,0.1520979020979021,0.02097902097902098,6.9,0.07005253940455342,0.48336252189141854,0.2504378283712785,0.266199649737303,200155.0,6901.0,4041.0,2865.0,49.2,2.4,0.7740805604203153,0.22591943957968477,0.0,0.17300000000000001,60902.0,0.01948627103631532,0.218,0.22,0.4470284237726098,0.10092961487383798,0.0,0.01576182136602452,0.14300000000000002
B0C,0.9051724137931034,0.0,0.034482758620689655,0.0603448275862069,6.3,0.08658008658008658,0.5869565217391305,0.2782608695652174,0.13478260869565217,139789.0,2649.0,1689.0,1161.0,50.4,2.2,0.8869565217391304,0.11304347826086956,0.0,0.152,56597.0,0.0069605568445475635,0.32,0.33299999999999996,0.3797752808988764,0.10687022900763359,0.0,0.021645021645021644,0.094
B0E,0.8521970705725699,0.0004438526409232135,0.08655126498002663,0.06080781180648025,6.5,0.10706352732119058,0.6127886323268206,0.24955595026642985,0.13765541740674955,139303.0,25881.0,14997.0,11258.0,52.1,2.2,0.8095026642984015,0.14653641207815277,0.04396092362344583,0.16399999999999998,55125.0,0.011390602752728999,0.24600000000000002,0.182,0.4532967032967033,0.15545060999606455,0.003996447602131439,0.03108348134991119,0.095
B0H,0.8424657534246576,0.0,0.03995433789954338,0.11757990867579908,6.5,0.11717861205915814,0.5820045558086561,0.26993166287015946,0.1480637813211845,107856.0,9953.0,5827.0,4388.0,51.7,2.3,0.8545454545454545,0.12045454545454545,0.025,0.187,55040.0,0.012844036697247707,0.23600000000000002,0.16899999999999998,0.46354475400118555,0.13359920239282153,0.0,0.013636363636363636,0.10099999999999999
B0J,0.8870694522868436,0.0,0.07622811970638058,0.03670242800677583,6.6,0.1018202502844141,0.6199146514935988,0.24665718349928875,0.13342816500711238,199910.0,39302.0,23591.0,17707.0,51.8,2.2,0.8304409672830726,0.16671408250355618,0.002844950213371266,0.171,57705.0,0.013694414525311586,0.18600000000000003,0.098,0.43748125937031485,0.17526277193840137,0.0025604551920341396,0.017354196301564723,0.132
B0K,0.8095087163232964,0.0003169572107765452,0.1318541996830428,0.05832012678288431,6.5,0.12042051608792609,0.6346828179789608,0.224418233981511,0.1408989480395282,139366.0,35895.0,20689.0,15775.0,49.7,2.2,0.7920382165605095,0.19904458598726116,0.008917197452229299,0.18899999999999997,55522.0,0.011109182433605277,0.2,0.124,0.43842281879194633,0.15487938596491227,0.003504300732717426,0.02548582351067219,0.11800000000000001
B0L,0.919431279620853,0.0,0.04265402843601896,0.037914691943127965,6.4,0.15714285714285714,0.7142857142857143,0.19523809523809524,0.09047619047619047,89755.0,2364.0,1657.0,1056.0,52.3,2.2,0.9047619047619048,0.09523809523809523,0.0,0.207,51371.0,0.005012531328320802,0.249,0.145,0.5256723716381418,0.0912863070539419,0.009523809523809525,0.03349282296650718,0.13
B0M,0.8635761589403973,0.0,0.08940397350993377,0.04701986754966887,6.6,0.12956810631229235,0.6954787234042553,0.22539893617021275,0.07912234042553191,100249.0,16997.0,9995.0,7548.0,49.9,2.2,0.8283433133732535,0.17165668662674652,0.0,0.22699999999999998,50082.0,0.006535947712418301,0.218,0.11900000000000001,0.4493160294633462,0.11560693641618497,0.0026560424966799467,0.023240371845949535,0.11900000000000001
B0N,0.8312312312312312,0.0006006006006006006,0.0966966966966967,0.07147147147147147,6.7,0.11739915713425647,0.5743527995183624,0.27874774232390126,0.1468994581577363,174291.0,39559.0,19157.0,16644.0,46.7,2.3,0.8080048149262714,0.17514294312368342,0.01685224195004514,0.177,59691.0,0.007677543186180422,0.179,0.092,0.4012875536480687,0.139943741209564,0.004515352197471403,0.023780854906682723,0.132
B0P,0.8283096926713948,0.0002955082742316785,0.13977541371158392,0.031619385342789595,7.0,0.09985272459499264,0.5378497790868925,0.30486008836524303,0.1572901325478645,184391.0,40417.0,18766.0,16913.0,46.6,2.4,0.7664212076583211,0.2300441826215022,0.0035346097201767305,0.17300000000000001,59980.0,0.009061084205592877,0.16899999999999998,0.091,0.40330920372285417,0.17618040873854826,0.0014727540500736377,0.01826215022091311,0.127
B0R,0.9416195856873822,0.0,0.032015065913371,0.026365348399246705,6.8,0.13549618320610687,0.6901140684410646,0.22053231939163498,0.08935361216730038,150114.0,5779.0,3771.0,2656.0,54.3,2.2,0.9047619047619048,0.09523809523809523,0.0,0.23199999999999998,51237.0,0.00815494393476045,0.221,0.085,0.5099206349206349,0.11686143572621036,0.0038095238095238095,0.015238095238095238,0.115
B0S,0.8466373350094281,0.0,0.14079195474544312,0.01257071024512885,6.8,0.13753943217665615,0.7162673392181589,0.2005044136191677,0.0832282471626734,145325.0,17212.0,9892.0,7954.0,53.5,2.1,0.7848580441640378,0.2082018927444795,0.00694006309148265,0.264,46305.0,0.0063604240282685515,0.237,0.139,0.48153214774281805,0.1409356725146199,0.005681818181818182,0.02334384858044164,0.139
B0T,0.8537490720118782,0.0,0.09725315515961395,0.04899777282850779,6.6,0.13864306784660768,0.7390983000739099,0.19216555801921656,0.06873614190687362,129953.0,14607.0,9029.0,6737.0,52.9,2.1,0.7927728613569321,0.20353982300884957,0.003687315634218289,0.245,48407.0,0.011221945137157107,0.239,0.127,0.48994082840236686,0.1163251817580965,0.0014749262536873156,0.024336283185840708,0.11699999999999999
B0V,0.7858439201451906,0.0,0.19056261343012704,0.023593466424682397,6.5,0.13123844731977818,0.725925925925926,0.18888888888888888,0.08518518518518518,119972.0,5809.0,3253.0,2758.0,51.6,2.1,0.6931608133086876,0.3068391866913124,0.0,0.27399999999999997,43776.0,0.009394572025052192,0.249,0.17,0.4450154162384378,0.125,0.0036968576709796672,0.024029574861367836,0.136
B0W,0.9364089775561097,0.0,0.043640897755610975,0.0199501246882793,7.0,0.1026600166251039,0.6601578728707935,0.271292064810968,0.06855006231823847,125060.0,26951.0,14465.0,12029.0,50.3,2.2,0.8715176715176716,0.1284823284823285,0.0,0.16699999999999998,58417.0,0.012362030905077263,0.207,0.113,0.3986660929432014,0.12307692307692308,0.0024937655860349127,0.017456359102244388,0.087
B1A,0.6971631205673758,0.0,0.29929078014184396,0.0035460992907801418,6.3,0.11331444759206799,0.7462897526501767,0.16890459363957597,0.08480565371024736,109867.0,15937.0,7593.0,7051.0,49.2,2.2,0.6841359773371105,0.31586402266288954,0.0,0.245,47659.0,0.008527131782945736,0.275,0.191,0.49296296296296294,0.14087061668681983,0.0028328611898017,0.038924274593064405,0.11599999999999999
B1B,0.8468468468468469,0.0,0.04504504504504504,0.10810810810810811,6.5,0.1388888888888889,0.6574074074074074,0.24074074074074073,0.10185185185185185,100074.0,1196.0,643.0,550.0,54.6,2.2,0.8796296296296297,0.12037037037037036,0.0,0.155,56491.0,0.009569377990430622,0.267,0.223,0.5141509433962265,0.13709677419354838,0.0,0.0,0.126
B1C,0.8986486486486487,0.0,0.033783783783783786,0.06756756756756757,6.7,0.08609271523178808,0.7218543046357616,0.23178807947019867,0.046357615894039736,100073.0,1654.0,859.0,738.0,54.0,2.2,0.881578947368421,0.11842105263157894,0.0,0.127,65536.0,0.01384083044982699,0.28600000000000003,0.374,0.4276729559748428,0.13259668508287292,0.0,0.02631578947368421,0.052000000000000005
B1E,0.8333333333333334,0.0,0.13768115942028986,0.028985507246376812,6.7,0.14814814814814814,0.7426470588235294,0.16176470588235295,0.09558823529411764,114967.0,1564.0,729.0,682.0,48.8,2.3,0.7720588235294118,0.22794117647058823,0.0,0.195,52608.0,0.007751937984496124,0.264,0.19399999999999998,0.5126353790613718,0.1509433962264151,0.014814814814814815,0.02962962962962963,0.124
B1G,0.6863905325443787,0.0,0.25443786982248523,0.05917159763313609,6.5,0.1242603550295858,0.6666666666666666,0.22023809523809523,0.1130952380952381,99266.0,1867.0,898.0,843.0,51.4,2.2,0.7142857142857143,0.2857142857142857,0.0,0.217,48192.0,0.006349206349206349,0.282,0.16899999999999998,0.5259938837920489,0.10638297872340426,0.0,0.023668639053254437,0.10099999999999999
B1H,0.7494172494172494,0.0,0.23076923076923078,0.019813519813519812,6.3,0.10981308411214953,0.6950934579439252,0.2371495327102804,0.06775700934579439,100043.0,9642.0,4539.0,4296.0,50.7,2.2,0.7476635514018691,0.2523364485981308,0.0,0.215,49499.0,0.006265664160401002,0.293,0.185,0.5275590551181102,0.130859375,0.002336448598130841,0.036214953271028034,0.13
B1J,0.8958333333333334,0.0,0.020833333333333332,0.08333333333333333,6.9,0.05102040816326531,0.594059405940594,0.2871287128712871,0.1188118811881188,199967.0,969.0,707.0,479.0,58.7,2.0,0.8969072164948454,0.10309278350515463,0.0,0.11900000000000001,64640.0,0.023121387283236993,0.193,0.23600000000000002,0.5187165775401069,0.2222222222222222,0.0,0.0,0.057
B1K,0.9467680608365019,0.0,0.022813688212927757,0.030418250950570342,6.9,0.09022556390977443,0.5263157894736842,0.3007518796992481,0.17293233082706766,185296.0,3049.0,1951.0,1321.0,52.2,2.3,0.9360902255639098,0.06390977443609022,0.0,0.107,69230.0,0.01937984496124031,0.192,0.19399999999999998,0.4386973180076628,0.24050632911392406,0.0,0.0,0.098
B1L,0.8403990024937655,0.0,0.029925187032418952,0.12967581047381546,7.0,0.062034739454094295,0.5049751243781094,0.38308457711442784,0.11194029850746269,182637.0,4905.0,2086.0,2007.0,49.2,2.4,0.9106699751861043,0.08933002481389578,0.0,0.078,75975.0,0.015990159901599015,0.162,0.102,0.3962040332147094,0.2897196261682243,0.0,0.017369727047146403,0.07400000000000001
B1M,0.875,0.0,0.041666666666666664,0.08333333333333333,7.1,0.04081632653061224,0.43,0.43,0.14,199726.0,1130.0,534.0,476.0,50.3,2.3,0.9191919191919192,0.08080808080808081,0.0,0.10300000000000001,83627.0,0.010416666666666666,0.161,0.127,0.3853658536585366,0.2753623188405797,0.0,0.0,0.099
B1N,0.7586206896551724,0.0,0.22718052738336714,0.014198782961460446,6.3,0.09292929292929293,0.8279352226720648,0.12348178137651822,0.048582995951417005,99991.0,5705.0,2640.0,2465.0,47.1,2.3,0.6888888888888889,0.3111111111111111,0.0,0.25,46624.0,0.00437636761487965,0.275,0.19399999999999998,0.46113989637305697,0.10561056105610561,0.0,0.03434343434343434,0.136
B1P,0.5772893772893772,0.01978021978021978,0.389010989010989,0.01391941391941392,5.9,0.10051357300073367,0.7945707997065297,0.13646368305209097,0.06896551724137931,140245.0,14296.0,7456.0,6820.0,46.8,2.1,0.5553925165077036,0.4446074834922964,0.0,0.25,45926.0,0.007633587786259542,0.231,0.156,0.4485022568732048,0.22266666666666668,0.003668378576669112,0.0344574780058651,0.153
B1R,0.8638888888888889,0.0,0.1361111111111111,0.0,7.2,0.08333333333333333,0.6398891966759003,0.2299168975069252,0.13019390581717452,179790.0,4318.0,1850.0,1799.0,46.1,2.4,0.8282548476454293,0.17174515235457063,0.0,0.095,73664.0,0.01276595744680851,0.16,0.129,0.40654843110504774,0.2800875273522976,0.0,0.019444444444444445,0.081
B1S,0.6600846262341326,0.021156558533145273,0.31875881523272215,0.0,6.6,0.08498583569405099,0.6274787535410765,0.24645892351274787,0.12606232294617564,190051.0,8548.0,3832.0,3541.0,51.1,2.2,0.6152758132956153,0.33946251768033947,0.04526166902404526,0.145,57842.0,0.022727272727272728,0.171,0.127,0.45,0.3354673495518566,0.0028328611898017,0.021246458923512748,0.11
B1T,1.0,0.0,0.0,0.0,6.9,0.09375,0.42424242424242425,0.45454545454545453,0.12121212121212122,160195.0,354.0,315.0,175.0,58.6,2.0,0.9354838709677419,0.06451612903225806,0.0,0.127,56768.0,0.015873015873015872,0.228,0.25,0.5555555555555556,0.16129032258064516,0.06451612903225806,0.0,0.1
B1V,0.7292418772563177,0.0,0.2003610108303249,0.0703971119133574,6.3,0.10251798561151079,0.6953405017921147,0.21863799283154123,0.08602150537634409,99932.0,6311.0,2942.0,2770.0,48.6,2.2,0.7176258992805755,0.2823741007194245,0.0,0.24,48213.0,0.005923000987166831,0.285,0.20600000000000002,0.49953227315247895,0.11585365853658537,0.00539568345323741,0.03776978417266187,0.13
B1W,0.7452830188679245,0.0,0.23113207547169812,0.02358490566037736,5.5,0.2783018867924528,0.2383177570093458,0.3691588785046729,0.3925233644859813,,3422.0,1114.0,1059.0,23.5,3.2,0.2037914691943128,0.24644549763033174,0.5497630331753555,,23317.0,0.0024875621890547263,0.317,0.247,0.611353711790393,0.1840277777777778,0.07547169811320754,0.14622641509433962,0.0
B1X,0.9324324324324325,0.0,0.02702702702702703,0.04054054054054054,7.4,0.12987012987012986,0.4666666666666667,0.3333333333333333,0.2,199808.0,843.0,593.0,366.0,52.3,2.3,0.9473684210526315,0.05263157894736842,0.0,0.11900000000000001,67584.0,0.02857142857142857,0.205,0.18899999999999997,0.41935483870967744,0.21505376344086022,0.0,0.0,0.083
B1Y,0.863905325443787,0.0,0.06903353057199212,0.0670611439842209,6.4,0.0873015873015873,0.5833333333333334,0.28174603174603174,0.1349206349206349,150192.0,5885.0,2836.0,2535.0,51.1,2.3,0.852882703777336,0.147117296222664,0.0,0.153,63982.0,0.011190233977619531,0.23399999999999999,0.21899999999999997,0.4476003917727718,0.12,0.007952286282306162,0.027833001988071572,0.096
