fsa,hous_frac_type_single_detached,hous_frac_type_highrise,hous_frac_type_other_attached,hous_frac_type_movable,hous_avg_rooms,hous_frac_major_repair,hous_frac_age_pre_1980,hous_frac_age_1981_2000,hous_frac_age_post_2001,hous_median_value,demogr_pop_2016,demogr_num_total_dwellings,demogr_num_occ_dwellings,demogr_median_age,demogr_avg_household_size,demogr_frac_tenure_owned,demogr_frac_tenure_rented,demogr_frac_tenure_band,socioeco_frac_low_income,socioeco_median_income,socioeco_frac_high_income,socioeco_frac_govt_transfers,socioeco_frac_unemployment_rate,socioeco_frac_nonlaborer,socioeco_frac_bachelor_plus,socioeco_frac_overcrowded,socioeco_frac_unsuitable_housing,socioeco_frac_housing_burden
A0A,0.9230571281523418,0.0002573340195573855,0.07102418939783839,0.005661348430262481,7.0,0.07734092084842215,0.5312984997413347,0.26875323331608897,0.1999482669425763,200209.0,46587.0,26155.0,19426.0,48.5,2.4,0.8613195342820181,0.1386804657179819,0.0,0.17,63866.0,0.025411454904542462,0.207,0.16399999999999998,0.4556621880998081,0.10614192009540847,0.0028453181583031556,0.020693222969477496,0.11599999999999999
A0B,0.9477272727272728,0.0,0.03977272727272727,0.0125,6.9,0.07879818594104308,0.5751559841179807,0.28587634713556437,0.13896766874645491,150155.0,19792.0,13658.0,8792.0,54.2,2.2,0.8922902494331065,0.10770975056689343,0.0,0.165,59154.0,0.023056458764410287,0.237,0.185,0.4838893641288851,0.0730098916627414,0.002834467120181406,0.011337868480725623,0.095
A0C,0.9339875111507583,0.0,0.05263157894736842,0.013380909901873328,6.6,0.06582506762849413,0.5915238954012624,0.2867448151487827,0.12173128944995491,105093.0,12587.0,8010.0,5606.0,53.1,2.2,0.871841155234657,0.12815884476534295,0.0,0.205,52112.0,0.00942507068803016,0.298,0.268,0.47597042513863214,0.060495626822157436,0.0,0.009918845807033363,0.08900000000000001
A0E,0.9338541666666667,0.0005208333333333333,0.05520833333333333,0.010416666666666666,6.9,0.07232049947970863,0.6612903225806451,0.24193548387096775,0.0967741935483871,120199.0,22294.0,12293.0,9603.0,51.0,2.3,0.8688183237896928,0.13118167621030713,0.0,0.171,60954.0,0.025302826379542395,0.217,0.235,0.48757763975155277,0.07221542227662178,0.0015608740894901144,0.014575741801145237,0.079
A0G,0.9361842105263158,0.0,0.057236842105263155,0.006578947368421052,6.9,0.08755760368663594,0.5765054294175715,0.29713721618953604,0.1263573543928924,119920.0,35266.0,21750.0,15200.0,52.8,2.3,0.8824884792626728,0.1175115207373272,0.0,0.207,53342.0,0.012956017729287419,0.28600000000000003,0.275,0.507715036112935,0.06316348195329087,0.003620803159973667,0.012837393021724819,0.08199999999999999
A0H,0.8830065359477124,0.0,0.11176470588235295,0.00522875816993464,6.8,0.08678756476683938,0.6297734627831715,0.24401294498381876,0.1262135922330097,100022.0,17804.0,9928.0,7651.0,51.6,2.3,0.8220064724919094,0.17346278317152103,0.004530744336569579,0.228,52847.0,0.010803511141120865,0.28,0.252,0.4992055926278996,0.06458123107971746,0.0012953367875647669,0.018134715025906734,0.09
A0J,0.8817518248175182,0.0,0.11532846715328467,0.00291970802919708,7.0,0.06901615271659324,0.5498533724340176,0.30498533724340177,0.14516129032258066,129635.0,7880.0,4813.0,3426.0,52.9,2.2,0.8237885462555066,0.1762114537444934,0.0,0.212,52352.0,0.01918649270913277,0.259,0.28,0.5304606240713224,0.07203907203907203,0.0,0.013215859030837005,0.075
A0K,0.9296663660955816,0.0,0.05590622182146077,0.014427412082957619,7.1,0.10099188458070334,0.5421741091565179,0.37167343256653135,0.08615245827695084,89669.0,26058.0,15159.0,11090.0,51.8,2.3,0.8940964398377648,0.10590356016223525,0.0,0.174,60533.0,0.015891032917139614,0.264,0.363,0.46504492658338814,0.07929362880886427,0.0031559963931469793,0.016681695220919748,0.055
A0L,0.9355345911949685,0.0,0.06289308176100629,0.0015723270440251573,7.3,0.06356589147286822,0.5116279069767442,0.31007751937984496,0.17829457364341086,199906.0,7643.0,3769.0,3178.0,48.3,2.4,0.8763523956723338,0.12364760432766615,0.0,0.132,69449.0,0.017377567140600316,0.209,0.21100000000000002,0.4436885865457294,0.13846153846153847,0.0046439628482972135,0.02321981424148607,0.087
A0M,0.8756756756756757,0.005405405405405406,0.11171171171171171,0.007207207207207207,6.7,0.07871198568872988,0.696969696969697,0.21746880570409982,0.0855614973262032,100046.0,6200.0,3247.0,2769.0,52.6,2.2,0.8303571428571429,0.16964285714285715,0.0,0.166,57165.0,0.009643201542912247,0.244,0.278,0.48476454293628807,0.08882521489971347,0.0,0.017857142857142856,0.075
