FSA,longitude,latitude
A0A,-53.087799556424166,47.31715993216946
A0B,-53.69106306732977,47.34262097570901
A0C,-53.72541331294242,48.37527654538502
A0E,-54.77762949286855,47.384854814821125
A0G,-54.457730118040466,49.13062887814951
A0H,-56.11443862558042,48.377240682840366
A0J,-55.89191009526246,49.55938714139678
A0K,-56.936482832746,51.98047258576715
A0L,-58.06452406506139,48.944515810335126
A0M,-58.395869245879545,47.757930316829714
A0N,-57.88596231173603,48.05950793312931
A0P,-61.3556860132681,55.20518841600359
A0R,-65.11199192213518,53.5400382481841
A1A,-52.73205155879209,47.5924593076226
A1B,-52.77961890546398,47.569834953787016
A1C,-52.67324027104744,47.51299184131226
A1E,-52.759478681939044,47.533374597274864
A1G,-52.76026047226542,47.50598192431017
A1H,-52.84147578896068,47.48297638222826
A1K,-52.77578609561005,47.70804066637252
A1L,-52.884732019147364,47.5209317408388
A1M,-52.83184316536492,47.620687912915976
A1N,-52.81218485317004,47.519409536514424
A1S,-52.80771461034946,47.42117003286962
A1V,-54.58950142912846,48.957642714505816
A1W,-52.94479836576252,47.51105584796761
A1X,-53.00108923089153,47.47178149516814
A1Y,-53.18930949501812,47.74366968021896
A2A,-55.633597460015665,48.94885606394426
A2B,-55.89148210461885,48.84900034121813
A2H,-57.797023829509655,48.91562709037834
A2N,-58.63436676959547,48.52764231061158
A2V,-66.9327513867733,52.95169810469116
A5A,-53.99636895863734,48.171787106886306
A8A,-57.76059924642104,49.09413519854686
B0C,-60.474136263373204,46.71663311084044
B0E,-61.0242953864602,46.06487742969641
B0H,-61.71351597268038,45.35569762178154
B0J,-63.28610062651436,44.74583700762045
B0K,-63.039733549366915,45.71945277664445
B0L,-64.36483649212815,45.71340583559942
B0M,-64.14827146519553,45.4793727602148
B0N,-63.508853890712516,45.1096768363958
B0P,-64.60839216040064,45.083461609415664
B0R,-64.70968461369793,44.56429363455918
B0S,-65.30866690098009,44.702267924356306
B0T,-65.10204702534601,44.0329133432229
B0V,-66.07954766480333,44.46547634083238
B0W,-65.78917850970664,43.93032748640044
B1A,-59.90129138793565,46.19294537007133
B1B,-59.839271853528906,46.1176166022759
B1C,-59.90449152088883,45.9568694276364
B1E,-60.01664082403847,46.18449266185162
B1G,-60.01564521033777,46.22064429345811
B1H,-60.08781319938052,46.23543557454645
B1J,-60.521004680699285,45.919385290812514
B1K,-60.22422185971127,45.89305588608821
B1L,-60.28835967890534,46.063313200510756
B1M,-60.069616460989685,46.127011362213835
B1N,-60.166204399755614,46.20442517185405
B1P,-60.33639343275518,46.056403682721665
B1R,-60.25775183811156,46.12584902612072
B1S,-60.20924084537026,46.1108664845164
B1T,-60.66619897513766,45.96879237656872
B1V,-60.21014955614449,46.260700622899826
B1W,-60.61881814887501,45.9600483039129
B1X,-60.49060782842608,46.23827252505706
B1Y,-60.362234625977855,46.231081361100166
B2A,-60.36468752195202,46.12364467976388
B2C,-60.82554361805464,45.98047139937712
B2E,-60.59085042916583,45.76936391939246
B2G,-61.9383771779001,45.71920487342069
B2H,-62.41011917020174,45.47322619699298
B2J,-60.43388858102918,45.66343336082561
B2N,-63.26907514737722,45.3619499386098
B2R,-63.55249630257376,44.759937738754886
B2S,-63.53444150227376,45.02085082948885
B2T,-63.46894868518379,44.87494726794766
B2V,-63.47679100041069,44.65350012857442
B2W,-63.51114060961537,44.67142700560023
B2X,-63.533002891190826,44.70201285729298
B2Y,-60.06245957483272,43.98381163231261
B2Z,-63.40961563628205,44.70278227713524
B3A,-63.5784237788466,44.68064877134907
B3B,-63.59078107833973,44.70707016104072
B3E,-63.33614989545914,44.77219100029794
