model_name,run_id,outer_fold,n_train,n_val,train_positive_rate,val_positive_rate,roc_auc,aucpr,log_loss,brier,ece,f1,recall,accuracy,best_params_json
logreg,logreg_overnight_2026_03_20_neg_log_loss_20260320_021633,0,8392,2069,0.1124880838894185,0.09279845335911067,0.5908988745338306,0.14059785954139398,0.30736720884427243,0.08403011632503389,0.031230308480422554,0.1797945205479452,0.546875,0.5369743837602706,"{""classifier__C"": 0.0010672476836323724, ""classifier__class_weight"": null, ""classifier__penalty"": ""l2""}"
logreg,logreg_overnight_2026_03_20_neg_log_loss_20260320_021633,1,8326,2135,0.1088157578669229,0.10772833723653395,0.6302613260298985,0.174734505486212,0.33094334926596486,0.0941926069325642,0.005814845186417412,0.23093072078376486,0.717391304347826,0.4852459016393443,"{""classifier__C"": 0.007890004262668575, ""classifier__class_weight"": null, ""classifier__penalty"": ""l1""}"
logreg,logreg_overnight_2026_03_20_neg_log_loss_20260320_021633,2,8345,2116,0.10161773517076093,0.13610586011342155,0.646364233831753,0.22834570875779142,0.3894308809210593,0.11471095479409361,0.03942070445161257,0.307974335472044,0.5833333333333334,0.6431947069943289,"{""classifier__C"": 0.0036084925884026665, ""classifier__class_weight"": null, ""classifier__penalty"": ""l2""}"
logreg,logreg_overnight_2026_03_20_neg_log_loss_20260320_021633,3,8418,2043,0.10430030886196247,0.1262848751835536,0.6361876533559161,0.19315462584708917,0.3698505368143493,0.10834273905754341,0.022072765832059908,0.2585258525852585,0.9108527131782945,0.3401860009789525,"{""classifier__C"": 0.004809461967501573, ""classifier__class_weight"": null, ""classifier__l1_ratio"": 0.5, ""classifier__penalty"": ""elasticnet""}"
logreg,logreg_overnight_2026_03_20_neg_log_loss_20260320_021633,4,8363,2098,0.11574793734305872,0.08007626310772165,0.6744479397976807,0.16246254447505276,0.27128058420464835,0.07260712460150326,0.034476443139708254,0.19467680608365018,0.7619047619047619,0.4952335557673975,"{""classifier__C"": 0.024004075943521632, ""classifier__class_weight"": null, ""classifier__penalty"": ""l1""}"
