ProvinceTerritory,FSA,TestDurationInDays,AverageRadonConcentrationInBqPerM3,RXTP_intrusive rocks,RXTP_metamorphic rocks,RXTP_sedimentary and volcanic rocks,RXTP_sedimentary rocks,RXTP_unknown,RXTP_volcanic rocks,GEOLPROV_Appalachian Orogen,GEOLPROV_Arctic Continental Shelf,GEOLPROV_Arctic Platform,GEOLPROV_Atlantic Continental Shelf,GEOLPROV_Bear Province,GEOLPROV_Churchill Province,GEOLPROV_Cordilleran Orogen,GEOLPROV_Grenville Province,GEOLPROV_Hudson Bay Lowlands,GEOLPROV_Innuitian Orogen,GEOLPROV_Interior Platform,GEOLPROV_Nain Province,GEOLPROV_Pacific Continental Shelf,GEOLPROV_Slave Province,GEOLPROV_Southern Province,GEOLPROV_St. Lawrence Platform,GEOLPROV_Superior Province,GEOLPROV_Unknown,GEOLPROV_oceanic crust
NL,A0A,127.0,20.0,0.03135372418022523,0.0,0.0,0.8692769583463356,0.0,0.09936931747343933,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,A0A,108.0,36.0,0.03135372418022523,0.0,0.0,0.8692769583463356,0.0,0.09936931747343933,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,A0E,91.0,7.5,0.13881809519992502,0.001062270247143475,0.0,0.5995031395953606,0.0,0.2606164949575708,0.9994374502542429,0.0,0.0,0.0005625497457570787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,A0A,91.0,31.0,0.03135372418022523,0.0,0.0,0.8692769583463356,0.0,0.09936931747343933,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,A0C,98.0,26.0,0.07057644857647269,0.0526792582038517,0.0,0.7584951408970959,0.0,0.11824915232257974,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,A0E,115.0,7.5,0.13881809519992502,0.001062270247143475,0.0,0.5995031395953606,0.0,0.2606164949575708,0.9994374502542429,0.0,0.0,0.0005625497457570787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,A0E,91.0,33.0,0.13881809519992502,0.001062270247143475,0.0,0.5995031395953606,0.0,0.2606164949575708,0.9994374502542429,0.0,0.0,0.0005625497457570787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,A1Y,91.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,A1Y,93.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,A1Y,81.0,118.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,A1Y,179.0,323.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,A0B,111.0,122.0,0.00970235943665204,0.0,0.0,0.8787976528035458,0.0,0.11149998775980222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,A5A,95.0,7.5,0.08444938052226962,0.0,0.0,0.65333211524249,0.0,0.2622185042352402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,A5A,104.0,7.5,0.08444938052226962,0.0,0.0,0.65333211524249,0.0,0.2622185042352402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,A5A,99.0,23.0,0.08444938052226962,0.0,0.0,0.65333211524249,0.0,0.2622185042352402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,A5A,98.0,25.0,0.08444938052226962,0.0,0.0,0.65333211524249,0.0,0.2622185042352402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,A5A,99.0,112.0,0.08444938052226962,0.0,0.0,0.65333211524249,0.0,0.2622185042352402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,A5A,93.0,128.0,0.08444938052226962,0.0,0.0,0.65333211524249,0.0,0.2622185042352402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,A0A,94.0,7.5,0.03135372418022523,0.0,0.0,0.8692769583463356,0.0,0.09936931747343933,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,A0A,92.0,7.5,0.03135372418022523,0.0,0.0,0.8692769583463356,0.0,0.09936931747343933,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,A0A,91.0,15.0,0.03135372418022523,0.0,0.0,0.8692769583463356,0.0,0.09936931747343933,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
